state,county,value
Alabama,Autauga,"22,220"
Alabama,Baldwin,"104,648"
Alabama,Barbour,"11,790"
Alabama,Bibb,"8,939"
Alabama,Blount,"23,767"
Alabama,Bullock,"4,468"
Alabama,Butler,"9,931"
Alabama,Calhoun,"53,192"
Alabama,Chambers,"16,928"
Alabama,Cherokee,"16,180"
Alabama,Chilton,"19,195"
Alabama,Choctaw,"7,244"
Alabama,Clarke,"12,584"
Alabama,Clay,"6,748"
Alabama,Cleburne,"6,685"
Alabama,Coffee,"22,486"
Alabama,Colbert,"25,822"
Alabama,Conecuh,"7,069"
Alabama,Coosa,"6,453"
Alabama,Covington,"18,767"
Alabama,Crenshaw,"6,698"
Alabama,Cullman,"36,941"
Alabama,Dale,"22,693"
Alabama,Dallas,"20,174"
Alabama,DeKalb,"30,969"
Alabama,Elmore,"32,683"
Alabama,Escambia,"16,432"
Alabama,Etowah,"47,419"
Alabama,Fayette,"8,393"
Alabama,Franklin,"13,990"
Alabama,Geneva,"12,639"
Alabama,Greene,"4,985"
Alabama,Hale,"7,642"
Alabama,Henry,"8,885"
Alabama,Houston,"45,486"
Alabama,Jackson,"24,709"
Alabama,Jefferson,"301,587"
Alabama,Lamar,"7,337"
Alabama,Lauderdale,"43,845"
Alabama,Lawrence,"15,164"
Alabama,Lee,"63,295"
Alabama,Limestone,"34,959"
Alabama,Lowndes,"5,114"
Alabama,Macon,"10,224"
Alabama,Madison,"148,684"
Alabama,Marengo,"10,215"
Alabama,Marion,"14,698"
Alabama,Marshall,"40,225"
Alabama,Mobile,"179,154"
Alabama,Monroe,"11,288"
Alabama,Montgomery,"102,137"
Alabama,Morgan,"51,193"
Alabama,Perry,"4,708"
Alabama,Pickens,"9,438"
Alabama,Pike,"15,350"
Alabama,Randolph,"11,910"
Alabama,Russell,"25,385"
Alabama,Shelby,"81,458"
Alabama,St. Clair,"35,469"
Alabama,Sumter,"6,761"
Alabama,Talladega,"37,042"
Alabama,Tallapoosa,"22,041"
Alabama,Tuscaloosa,"85,488"
Alabama,Walker,"30,716"
Alabama,Washington,"8,363"
Alabama,Wilcox,"5,621"
Alabama,Winston,"13,393"
Alaska,Aleutians East,629
Alaska,Aleutians West,"1,944"
Alaska,Anchorage,"113,278"
Alaska,Bethel,"5,910"
Alaska,Bristol Bay,953
Alaska,Denali,"1,686"
Alaska,Dillingham,"2,422"
Alaska,Fairbanks North Star,"41,610"
Alaska,Haines,"1,676"
Alaska,HOONAH-ANGOON CENSUS AREA,"1,709"
Alaska,Juneau,"13,044"
Alaska,Kenai Peninsula,"30,498"
Alaska,Ketchikan Gateway,"6,178"
Alaska,Kodiak Island,"5,305"
Alaska,Lake and Peninsula,"1,562"
Alaska,Matanuska-Susitna,"41,106"
Alaska,Nome,"3,998"
Alaska,North Slope,"2,521"
Alaska,Northwest Arctic,"2,710"
Alaska,PETERSBURG CENSUS AREA,"2,112"
Alaska,PRINCE OF WALES-HYDER CENSUS AREA,"2,989"
Alaska,Sitka,"4,095"
Alaska,SKAGWAY MUNICIPALITY,619
Alaska,Southeast Fairbanks,"3,900"
Alaska,Valdez-Cordova,"6,075"
Alaska,Wade Hampton,"2,191"
Alaska,WRANGELL CITY AND BURROUGH,"1,486"
Alaska,Yakutat,436
Alaska,Yukon-Koyukuk,"4,020"
Arizona,Apache,"32,541"
Arizona,Cochise,"59,484"
Arizona,Coconino,"63,679"
Arizona,Gila,"32,749"
Arizona,Graham,"13,126"
