state,county,value
Alabama,Autauga,0.093
Alabama,Baldwin,0.107
Alabama,Barbour,0.136
Alabama,Bibb,0.108
Alabama,Blount,0.097
Alabama,Bullock,0.137
Alabama,Butler,0.116
Alabama,Calhoun,0.11
Alabama,Chambers,0.132
Alabama,Cherokee,0.109
Alabama,Chilton,0.108
Alabama,Choctaw,0.161
Alabama,Clarke,0.119
Alabama,Clay,0.132
Alabama,Cleburne,0.128
Alabama,Coffee,0.111
Alabama,Colbert,0.12
Alabama,Conecuh,0.134
Alabama,Coosa,0.161
Alabama,Covington,0.138
Alabama,Crenshaw,0.14
Alabama,Cullman,0.121
Alabama,Dale,0.105
Alabama,Dallas,0.141
Alabama,DeKalb,0.106
Alabama,Elmore,0.09
Alabama,Escambia,0.122
Alabama,Etowah,0.126
Alabama,Fayette,0.115
Alabama,Franklin,0.132
Alabama,Geneva,0.107
Alabama,Greene,0.152
Alabama,Hale,0.124
Alabama,Henry,0.123
Alabama,Houston,0.111
Alabama,Jackson,0.136
Alabama,Jefferson,0.101
Alabama,Lamar,0.13
Alabama,Lauderdale,0.125
Alabama,Lawrence,0.111
Alabama,Lee,0.064
Alabama,Limestone,0.097
Alabama,Lowndes,0.155
Alabama,Macon,0.127
Alabama,Madison,0.087
Alabama,Marengo,0.139
Alabama,Marion,0.122
Alabama,Marshall,0.121
Alabama,Mobile,0.098
Alabama,Monroe,0.133
Alabama,Montgomery,0.098
Alabama,Morgan,0.109
Alabama,Perry,0.13
Alabama,Pickens,0.142
Alabama,Pike,0.095
Alabama,Randolph,0.123
Alabama,Russell,0.098
Alabama,Shelby,0.074
Alabama,St. Clair,0.092
Alabama,Sumter,0.108
Alabama,Talladega,0.109
Alabama,Tallapoosa,0.115
Alabama,Tuscaloosa,0.088
Alabama,Walker,0.116
Alabama,Washington,0.123
Alabama,Wilcox,0.114
Alabama,Winston,0.133
Alaska,Aleutians East,0.068
Alaska,Aleutians West,0.04
Alaska,Anchorage,0.054
Alaska,Bethel,0.041
Alaska,Bristol Bay,0.06
Alaska,Denali,0.025
Alaska,Dillingham,0.047
Alaska,Fairbanks North Star,0.058
Alaska,Haines,0.087
Alaska,HOONAH-ANGOON CENSUS AREA,0.094
Alaska,Juneau,0.06
Alaska,Kenai Peninsula,0.085
Alaska,Ketchikan Gateway,0.09
Alaska,Kodiak Island,0.052
Alaska,Lake and Peninsula,0.049
Alaska,Matanuska-Susitna,0.055
Alaska,Nome,0.038
Alaska,North Slope,0.02
Alaska,Northwest Arctic,0.036
Alaska,PETERSBURG CENSUS AREA,0.083
Alaska,PRINCE OF WALES-HYDER CENSUS AREA,0.104
Alaska,Sitka,0.081
Alaska,SKAGWAY MUNICIPALITY,0.059
Alaska,Southeast Fairbanks,0.086
Alaska,Valdez-Cordova,0.044
Alaska,Wade Hampton,0.023
Alaska,WRANGELL CITY AND BURROUGH,0.147
Alaska,Yakutat,0.072
Alaska,Yukon-Koyukuk,0.1
Arizona,Apache,0.111
Arizona,Cochise,0.13
Arizona,Coconino,0.057
Arizona,Gila,0.147
Arizona,Graham,0.104
Arizona,Greenlee,0.063
Arizona,La Paz,0.159
Arizona,Maricopa,0.087
Arizona,Mohave,0.141
Arizona,Navajo,0.095
Arizona,Pima,0.113
Arizona,Pinal,0.094
Arizona,Santa Cruz,0.092
