state,county,value
Alabama,Autauga,0.095
Alabama,Baldwin,0.308
Alabama,Barbour,0.227
Alabama,Bibb,0.212
Alabama,Blount,0.123
Alabama,Bullock,0.162
Alabama,Butler,0.169
Alabama,Calhoun,0.149
Alabama,Chambers,0.18
Alabama,Cherokee,0.279
Alabama,Chilton,0.154
Alabama,Choctaw,0.238
Alabama,Clarke,0.223
Alabama,Clay,0.175
Alabama,Cleburne,0.158
Alabama,Coffee,0.157
Alabama,Colbert,0.136
Alabama,Conecuh,0.288
Alabama,Coosa,0.314
Alabama,Covington,0.203
Alabama,Crenshaw,0.193
Alabama,Cullman,0.16
Alabama,Dale,0.146
Alabama,Dallas,0.196
Alabama,DeKalb,0.203
Alabama,Elmore,0.132
Alabama,Escambia,0.164
Alabama,Etowah,0.158
Alabama,Fayette,0.172
Alabama,Franklin,0.128
Alabama,Geneva,0.14
Alabama,Greene,0.342
Alabama,Hale,0.224
Alabama,Henry,0.228
Alabama,Houston,0.139
Alabama,Jackson,0.175
Alabama,Jefferson,0.143
Alabama,Lamar,0.161
Alabama,Lauderdale,0.122
Alabama,Lawrence,0.123
Alabama,Lee,0.119
Alabama,Limestone,0.088
Alabama,Lowndes,0.161
Alabama,Macon,0.215
Alabama,Madison,0.102
Alabama,Marengo,0.171
Alabama,Marion,0.144
Alabama,Marshall,0.144
Alabama,Mobile,0.144
Alabama,Monroe,0.258
Alabama,Montgomery,0.131
Alabama,Morgan,0.107
Alabama,Perry,0.306
Alabama,Pickens,0.182
Alabama,Pike,0.168
Alabama,Randolph,0.245
Alabama,Russell,0.168
Alabama,Shelby,0.091
Alabama,St. Clair,0.113
Alabama,Sumter,0.267
Alabama,Talladega,0.158
Alabama,Tallapoosa,0.255
Alabama,Tuscaloosa,0.21
Alabama,Walker,0.169
Alabama,Washington,0.259
Alabama,Wilcox,0.317
Alabama,Winston,0.291
Alaska,Aleutians East,0.251
Alaska,Aleutians West,0.431
Alaska,Anchorage,0.075
Alaska,Bethel,0.25
Alaska,Bristol Bay,0.568
Alaska,Denali,0.601
Alaska,Dillingham,0.443
Alaska,Fairbanks North Star,0.141
Alaska,Haines,0.272
Alaska,HOONAH-ANGOON CENSUS AREA,0.455
Alaska,Juneau,0.078
Alaska,Kenai Peninsula,0.296
Alaska,Ketchikan Gateway,0.144
Alaska,Kodiak Island,0.139
Alaska,Lake and Peninsula,0.659
Alaska,Matanuska-Susitna,0.248
Alaska,Nome,0.292
Alaska,North Slope,0.215
Alaska,Northwest Arctic,0.301
Alaska,PETERSBURG CENSUS AREA,0.224
Alaska,PRINCE OF WALES-HYDER CENSUS AREA,0.289
Alaska,Sitka,0.144
Alaska,SKAGWAY MUNICIPALITY,0.392
Alaska,Southeast Fairbanks,0.448
Alaska,Valdez-Cordova,0.472
Alaska,Wade Hampton,0.229
Alaska,WRANGELL CITY AND BURROUGH,0.232
Alaska,Yakutat,0.352
Alaska,Yukon-Koyukuk,0.49
Arizona,Apache,0.416
Arizona,Cochise,0.183
Arizona,Coconino,0.274
Arizona,Gila,0.368
Arizona,Graham,0.162
Arizona,Greenlee,0.216
Arizona,La Paz,0.398
Arizona,Maricopa,0.141
Arizona,Mohave,0.278
Arizona,Navajo,0.405
Arizona,Pima,0.131
Arizona,Pinal,0.223
Arizona,Santa Cruz,0.142
Arizona,Yavapai,0.178
Arizona,Yuma,0.213
Arkansas,Arkansas,0.174
Arkansas,Ashley,0.158
Arkansas,Baxter,0.193
Arkansas,Benton,0.125
Arkansas,Boone,0.12
Arkansas,Bradley,0.192
Arkansas,Calhoun,0.287
Arkansas,Carroll,0.184
Arkansas,Chicot,0.168
Arkansas,Clark,0.185
Arkansas,Clay,0.161
Arkansas,Cleburne,0.35
Arkansas,Cleveland,0.196
Arkansas,Columbia,0.178
Arkansas,Conway,0.14
Arkansas,Craighead,0.092
Arkansas,Crawford,0.108
Arkansas,Crittenden,0.153
Arkansas,Cross,0.126
Arkansas,Dallas,0.227
Arkansas,Desha,0.175
Arkansas,Drew,0.132
Arkansas,Faulkner,0.106
Arkansas,Franklin,0.155
Arkansas,Fulton,0.216
Arkansas,Garland,0.211
Arkansas,Grant,0.129
Arkansas,Greene,0.086
Arkansas,Hempstead,0.221
Arkansas,Hot Spring,0.159
Arkansas,Howard,0.183
Arkansas,Independence,0.111
Arkansas,Izard,0.216
Arkansas,Jackson,0.159
Arkansas,Jefferson,0.14
Arkansas,Johnson,0.115
Arkansas,Lafayette,0.348
Arkansas,Lawrence,0.171
Arkansas,Lee,0.202
Arkansas,Lincoln,0.138
Arkansas,Little River,0.186
Arkansas,Logan,0.167
Arkansas,Lonoke,0.085
Arkansas,Madison,0.179
Arkansas,Marion,0.261
Arkansas,Miller,0.124
Arkansas,Mississippi,0.16
Arkansas,Monroe,0.241
Arkansas,Montgomery,0.337
Arkansas,Nevada,0.209
Arkansas,Newton,0.282
Arkansas,Ouachita,0.198
Arkansas,Perry,0.199
Arkansas,Phillips,0.182
Arkansas,Pike,0.218
Arkansas,Poinsett,0.148
Arkansas,Polk,0.204
