state,county,value
Alabama,Autauga,0.097
Alabama,Baldwin,0.304
Alabama,Barbour,0.219
Alabama,Bibb,0.217
Alabama,Blount,0.128
Alabama,Bullock,0.175
Alabama,Butler,0.188
Alabama,Calhoun,0.153
Alabama,Chambers,0.186
Alabama,Cherokee,0.306
Alabama,Chilton,0.156
Alabama,Choctaw,0.229
Alabama,Clarke,0.236
Alabama,Clay,0.196
Alabama,Cleburne,0.137
Alabama,Coffee,0.159
Alabama,Colbert,0.148
Alabama,Conecuh,0.269
Alabama,Coosa,0.311
Alabama,Covington,0.204
Alabama,Crenshaw,0.197
Alabama,Cullman,0.157
Alabama,Dale,0.167
Alabama,Dallas,0.189
Alabama,DeKalb,0.195
Alabama,Elmore,0.135
Alabama,Escambia,0.169
Alabama,Etowah,0.16
Alabama,Fayette,0.164
Alabama,Franklin,0.146
Alabama,Geneva,0.15
Alabama,Greene,0.359
Alabama,Hale,0.224
Alabama,Henry,0.231
Alabama,Houston,0.15
Alabama,Jackson,0.175
Alabama,Jefferson,0.141
Alabama,Lamar,0.161
Alabama,Lauderdale,0.126
Alabama,Lawrence,0.109
Alabama,Lee,0.12
Alabama,Limestone,0.089
Alabama,Lowndes,0.159
Alabama,Macon,0.218
Alabama,Madison,0.098
Alabama,Marengo,0.19
Alabama,Marion,0.137
Alabama,Marshall,0.151
Alabama,Mobile,0.148
Alabama,Monroe,0.256
Alabama,Montgomery,0.131
Alabama,Morgan,0.101
Alabama,Perry,0.268
Alabama,Pickens,0.191
Alabama,Pike,0.181
Alabama,Randolph,0.253
Alabama,Russell,0.157
Alabama,Shelby,0.088
Alabama,St. Clair,0.105
Alabama,Sumter,0.287
Alabama,Talladega,0.154
Alabama,Tallapoosa,0.261
Alabama,Tuscaloosa,0.206
Alabama,Walker,0.165
Alabama,Washington,0.267
Alabama,Wilcox,0.316
Alabama,Winston,0.299
Alaska,Aleutians East,0.228
Alaska,Aleutians West,0.415
Alaska,Anchorage,0.078
Alaska,Bethel,0.244
Alaska,Bristol Bay,0.589
Alaska,Denali,0.605
Alaska,Dillingham,0.443
Alaska,Fairbanks North Star,0.147
Alaska,Haines,0.26
Alaska,HOONAH-ANGOON CENSUS AREA,0.463
Alaska,Juneau,0.079
Alaska,Kenai Peninsula,0.3
Alaska,Ketchikan Gateway,0.153
Alaska,Kodiak Island,0.14
Alaska,Lake and Peninsula,0.674
Alaska,Matanuska-Susitna,0.247
Alaska,Nome,0.273
Alaska,North Slope,0.221
Alaska,Northwest Arctic,0.298
Alaska,PETERSBURG CENSUS AREA,0.261
Alaska,PRINCE OF WALES-HYDER CENSUS AREA,0.32
Alaska,Sitka,0.157
Alaska,SKAGWAY MUNICIPALITY,0.362
Alaska,Southeast Fairbanks,0.458
Alaska,Valdez-Cordova,0.506
Alaska,Wade Hampton,0.233
Alaska,WRANGELL CITY AND BURROUGH,0.248
Alaska,Yakutat,0.361
Alaska,Yukon-Koyukuk,0.509
Arizona,Apache,0.41
Arizona,Cochise,0.187
Arizona,Coconino,0.271
Arizona,Gila,0.365
Arizona,Graham,0.165
Arizona,Greenlee,0.268
Arizona,La Paz,0.418
Arizona,Maricopa,0.135
Arizona,Mohave,0.278
Arizona,Navajo,0.406
Arizona,Pima,0.128
Arizona,Pinal,0.22
Arizona,Santa Cruz,0.152
Arizona,Yavapai,0.174
Arizona,Yuma,0.209
Arkansas,Arkansas,0.18
Arkansas,Ashley,0.176
Arkansas,Baxter,0.197
Arkansas,Benton,0.111
Arkansas,Boone,0.115
Arkansas,Bradley,0.212
Arkansas,Calhoun,0.264
Arkansas,Carroll,0.191
Arkansas,Chicot,0.165
Arkansas,Clark,0.165
Arkansas,Clay,0.178
Arkansas,Cleburne,0.359
Arkansas,Cleveland,0.178
Arkansas,Columbia,0.171
Arkansas,Conway,0.14
Arkansas,Craighead,0.091
Arkansas,Crawford,0.103
Arkansas,Crittenden,0.149
Arkansas,Cross,0.121
Arkansas,Dallas,0.245
Arkansas,Desha,0.159
Arkansas,Drew,0.137
Arkansas,Faulkner,0.109
Arkansas,Franklin,0.155
Arkansas,Fulton,0.217
Arkansas,Garland,0.202
Arkansas,Grant,0.123
Arkansas,Greene,0.09
Arkansas,Hempstead,0.25
Arkansas,Hot Spring,0.151
Arkansas,Howard,0.19
Arkansas,Independence,0.124
Arkansas,Izard,0.23
Arkansas,Jackson,0.164
Arkansas,Jefferson,0.152
Arkansas,Johnson,0.108
Arkansas,Lafayette,0.35
Arkansas,Lawrence,0.161
Arkansas,Lee,0.175
Arkansas,Lincoln,0.168
Arkansas,Little River,0.186
Arkansas,Logan,0.15
Arkansas,Lonoke,0.083
Arkansas,Madison,0.153
Arkansas,Marion,0.282
Arkansas,Miller,0.125
Arkansas,Mississippi,0.164
Arkansas,Monroe,0.242
Arkansas,Montgomery,0.323
Arkansas,Nevada,0.237
Arkansas,Newton,0.293
Arkansas,Ouachita,0.194
Arkansas,Perry,0.216
Arkansas,Phillips,0.197
Arkansas,Pike,0.219
Arkansas,Poinsett,0.15
Arkansas,Polk,0.212
Arkansas,Pope,0.122
Arkansas,Prairie,0.149
Arkansas,Pulaski,0.143
Arkansas,Randolph,0.139
Arkansas,Saline,0.087
Arkansas,Scott,0.219
Arkansas,Searcy,0.353
Arkansas,Sebastian,0.111
Arkansas,Sevier,0.117
Arkansas,Sharp,0.277
Arkansas,St. Francis,0.136
Arkansas,Stone,0.237
Arkansas,Union,0.158
Arkansas,Van Buren,0.334
Arkansas,Washington,0.085
Arkansas,White,0.108
Arkansas,Woodruff,0.25
Arkansas,Yell,0.211
California,Alameda,0.052
California,Alpine,0.801
California,Amador,0.234
California,Butte,0.122
California,Calaveras,0.356
California,Colusa,0.122
California,Contra Costa,0.05
California,Del Norte,0.167
California,El Dorado,0.243
California,Fresno,0.08
California,Glenn,0.128
California,Humboldt,0.147
California,Imperial,0.181
California,Inyo,0.163
California,Kern,0.103
California,Kings,0.069
California,Lake,0.242
California,Lassen,0.238
California,Los Angeles,0.061
California,Madera,0.132
California,Marin,0.074
California,Mariposa,0.288
California,Mendocino,0.163
California,Merced,0.076
California,Modoc,0.285
California,Mono,0.649
California,Monterey,0.103
California,Napa,0.103
California,Nevada,0.227
California,Orange,0.052
California,Placer,0.134
California,Plumas,0.476
California,Riverside,0.142
California,Sacramento,0.067
California,San Benito,0.047
California,San Bernardino,0.13
California,San Diego,0.073
California,San Francisco,0.079
California,San Joaquin,0.074
California,San Luis Obispo,0.128
California,San Mateo,0.048
California,Santa Barbara,0.074
California,Santa Clara,0.038
California,Santa Cruz,0.097
California,Shasta,0.108
California,Sierra,0.458
California,Siskiyou,0.203
California,Solano,0.07
California,Sonoma,0.09
California,Stanislaus,0.061
California,Sutter,0.063
California,Tehama,0.129
California,Trinity,0.375
California,Tulare,0.078
California,Tuolumne,0.294
California,Ventura,0.053
California,Yolo,0.054
California,Yuba,0.1
Colorado,Adams,0.051
Colorado,Alamosa,0.111
Colorado,Arapahoe,0.049
Colorado,Archuleta,0.399
Colorado,Baca,0.298
Colorado,Bent,0.214
Colorado,Boulder,0.056
Colorado,Broomfield,0.048
Colorado,Chaffee,0.244
Colorado,Cheyenne,0.174
Colorado,Clear Creek,0.256
Colorado,Conejos,0.315
Colorado,Costilla,0.454
Colorado,Crowley,0.244
Colorado,Custer,0.538
Colorado,Delta,0.168
Colorado,Denver,0.063
Colorado,Dolores,0.471
Colorado,Douglas,0.034
Colorado,Eagle,0.433
Colorado,El Paso,0.063
Colorado,Elbert,0.068
Colorado,Fremont,0.151
Colorado,Garfield,0.116
Colorado,Gilpin,0.294
Colorado,Grand,0.676
Colorado,Gunnison,0.455
Colorado,Hinsdale,0.723
Colorado,Huerfano,0.409
Colorado,Jackson,0.512
Colorado,Jefferson,0.041
Colorado,Kiowa,0.289
Colorado,Kit Carson,0.143
Colorado,La Plata,0.184
Colorado,Lake,0.331
Colorado,Larimer,0.086
Colorado,Las Animas,0.292
Colorado,Lincoln,0.222
Colorado,Logan,0.11
Colorado,Mesa,0.067
Colorado,Mineral,0.705
Colorado,Moffat,0.192
Colorado,Montezuma,0.132
Colorado,Montrose,0.084
Colorado,Morgan,0.09
Colorado,Otero,0.164
Colorado,Ouray,0.358
Colorado,Park,0.482
Colorado,Phillips,0.118
Colorado,Pitkin,0.419
Colorado,Prowers,0.177
Colorado,Pueblo,0.101
Colorado,Rio Blanco,0.257
Colorado,Rio Grande,0.302
Colorado,Routt,0.424
Colorado,Saguache,0.335
Colorado,San Juan,0.596
Colorado,San Miguel,0.505
Colorado,Sedgwick,0.261
Colorado,Summit,0.665
Colorado,Teller,0.247
Colorado,Washington,0.19
Colorado,Weld,0.05
Colorado,Yuma,0.129
Connecticut,Fairfield,0.08
Connecticut,Hartford,0.075
Connecticut,Litchfield,0.148
Connecticut,Middlesex,0.12
Connecticut,New Haven,0.1
Connecticut,New London,0.122
Connecticut,Tolland,0.067
Connecticut,Windham,0.1
Delaware,Kent,0.1
Delaware,New Castle,0.078
Delaware,Sussex,0.364
District of Columbia,District of Columbia,0.099
Florida,Alachua,0.149
Florida,Baker,0.148
Florida,Bay,0.322
Florida,Bradford,0.197
Florida,Brevard,0.18
Florida,Broward,0.177
Florida,Calhoun,0.195
Florida,Charlotte,0.29
Florida,Citrus,0.216
Florida,Clay,0.102
Florida,Collier,0.356
Florida,Columbia,0.165
Florida,DeSoto,0.235
Florida,Dixie,0.342
Florida,Duval,0.141
Florida,Escambia,0.177
Florida,Flagler,0.25
Florida,Franklin,0.495
Florida,Gadsden,0.128
Florida,Gilchrist,0.147
Florida,Glades,0.429
Florida,Gulf,0.416
Florida,Hamilton,0.182
Florida,Hardee,0.21
Florida,Hendry,0.213
Florida,Hernando,0.168
Florida,Highlands,0.266
Florida,Hillsborough,0.115
Florida,Holmes,0.206
Florida,Indian River,0.25
Florida,Jackson,0.219
Florida,Jefferson,0.18
Florida,Lafayette,0.23
Florida,Lake,0.184
Florida,Lee,0.326
Florida,Leon,0.12
Florida,Levy,0.221
Florida,Liberty,0.286
Florida,Madison,0.217
Florida,Manatee,0.239
Florida,Marion,0.192
Florida,Martin,0.213
Florida,Miami-Dade,0.157
Florida,Monroe,0.454
Florida,Nassau,0.207
Florida,Okaloosa,0.205
Florida,Okeechobee,0.286
Florida,Orange,0.134
Florida,Osceola,0.301
Florida,Palm Beach,0.204
Florida,Pasco,0.196
Florida,Pinellas,0.201
Florida,Polk,0.216
Florida,Putnam,0.248
Florida,Santa Rosa,0.122
Florida,Sarasota,0.239
Florida,Seminole,0.174
Florida,St. Johns,0.164
Florida,St. Lucie,0.214
Florida,Sumter,0.215
Florida,Suwannee,0.173
Florida,Taylor,0.303
Florida,Union,0.133
Florida,Volusia,0.216
Florida,Wakulla,0.167
Florida,Walton,0.499
Florida,Washington,0.229
Georgia,Appling,0.192
Georgia,Atkinson,0.203
Georgia,Bacon,0.17
Georgia,Baker,0.222
Georgia,Baldwin,0.209
Georgia,Banks,0.134
Georgia,Barrow,0.118
Georgia,Bartow,0.103
Georgia,Ben Hill,0.19
Georgia,Berrien,0.196
Georgia,Bibb,0.185
Georgia,Bleckley,0.22
Georgia,Brantley,0.174
Georgia,Brooks,0.141
Georgia,Bryan,0.097
Georgia,Bulloch,0.117
Georgia,Burke,0.176
Georgia,Butts,0.163
Georgia,Calhoun,0.215
Georgia,Camden,0.128
Georgia,Candler,0.171
Georgia,Carroll,0.103
Georgia,Catoosa,0.104
Georgia,Charlton,0.206
Georgia,Chatham,0.139
Georgia,Chattahoochee,0.225
Georgia,Chattooga,0.141
Georgia,Cherokee,0.065
Georgia,Clarke,0.159
Georgia,Clay,0.372
Georgia,Clayton,0.152
Georgia,Clinch,0.132
Georgia,Cobb,0.077
Georgia,Coffee,0.156
Georgia,Colquitt,0.141
Georgia,Columbia,0.13
Georgia,Cook,0.15
Georgia,Coweta,0.052
Georgia,Crawford,0.137
Georgia,Crisp,0.192
Georgia,Dade,0.154
Georgia,Dawson,0.221
Georgia,Decatur,0.125
Georgia,DeKalb,0.127
Georgia,Dodge,0.174
Georgia,Dooly,0.198
Georgia,Dougherty,0.129
Georgia,Douglas,0.091
Georgia,Early,0.192
Georgia,Echols,0.15
Georgia,Effingham,0.095
Georgia,Elbert,0.187
Georgia,Emanuel,0.176
Georgia,Evans,0.141
Georgia,Fannin,0.423
Georgia,Fayette,0.063
Georgia,Floyd,0.138
Georgia,Forsyth,0.097
Georgia,Franklin,0.195
Georgia,Fulton,0.146
Georgia,Gilmer,0.339
Georgia,Glascock,0.256
Georgia,Glynn,0.221
Georgia,Gordon,0.121
Georgia,Grady,0.135
Georgia,Greene,0.25
Georgia,Gwinnett,0.075
Georgia,Habersham,0.18
Georgia,Hall,0.105
Georgia,Hancock,0.468
Georgia,Haralson,0.124
Georgia,Harris,0.15
Georgia,Hart,0.232
Georgia,Heard,0.152
Georgia,Henry,0.091
Georgia,Houston,0.104
Georgia,Irwin,0.189
Georgia,Jackson,0.114
Georgia,Jasper,0.169
Georgia,Jeff Davis,0.158
Georgia,Jefferson,0.165
Georgia,Jenkins,0.261
Georgia,Johnson,0.193
Georgia,Jones,0.11
Georgia,Lamar,0.145
Georgia,Lanier,0.136
Georgia,Laurens,0.173
Georgia,Lee,0.054
Georgia,Liberty,0.153
Georgia,Lincoln,0.285
Georgia,Long,0.185
Georgia,Lowndes,0.134
Georgia,Lumpkin,0.148
Georgia,Macon,0.229
Georgia,Madison,0.132
Georgia,Marion,0.258
Georgia,McDuffie,0.123
Georgia,McIntosh,0.431
Georgia,Meriwether,0.2
Georgia,Miller,0.141
Georgia,Mitchell,0.091
Georgia,Monroe,0.121
Georgia,Montgomery,0.193
Georgia,Morgan,0.144
Georgia,Murray,0.1
Georgia,Muscogee,0.129
Georgia,Newton,0.097
Georgia,Oconee,0.075
Georgia,Oglethorpe,0.146
Georgia,Paulding,0.072
Georgia,Peach,0.114
Georgia,Pickens,0.175
Georgia,Pierce,0.135
Georgia,Pike,0.118
Georgia,Polk,0.132
Georgia,Pulaski,0.185
Georgia,Putnam,0.336
Georgia,Quitman,0.514
Georgia,Rabun,0.454
Georgia,Randolph,0.238
Georgia,Richmond,0.175
Georgia,Rockdale,0.111
Georgia,Schley,0.136
Georgia,Screven,0.207
Georgia,Seminole,0.312
Georgia,Spalding,0.156
Georgia,Stephens,0.267
Georgia,Stewart,0.261
Georgia,Sumter,0.177
Georgia,Talbot,0.211
Georgia,Taliaferro,0.341
Georgia,Tattnall,0.203
Georgia,Taylor,0.246
Georgia,Telfair,0.268
Georgia,Terrell,0.205
Georgia,Thomas,0.144
Georgia,Tift,0.139
Georgia,Toombs,0.117
Georgia,Towns,0.457
Georgia,Treutlen,0.187
Georgia,Troup,0.127
Georgia,Turner,0.213
Georgia,Twiggs,0.28
Georgia,Union,0.412
Georgia,Upson,0.162
Georgia,Walker,0.141
Georgia,Walton,0.087
Georgia,Ware,0.152
Georgia,Warren,0.281
Georgia,Washington,0.2
Georgia,Wayne,0.17
Georgia,Webster,0.237
Georgia,Wheeler,0.223
Georgia,White,0.293
Georgia,Whitfield,0.13
Georgia,Wilcox,0.217
Georgia,Wilkes,0.224
Georgia,Wilkinson,0.255
Georgia,Worth,0.141
Hawaii,Hawaii,0.232
Hawaii,Honolulu,0.093
Hawaii,Kalawao,0.449
Hawaii,Kauai,0.259
Hawaii,Maui,0.249
Idaho,Ada,0.047
Idaho,Adams,0.398
Idaho,Bannock,0.088
Idaho,Bear Lake,0.408
Idaho,Benewah,0.208
Idaho,Bingham,0.093
Idaho,Blaine,0.409
Idaho,Boise,0.443
Idaho,Bonner,0.301
Idaho,Bonneville,0.094
Idaho,Boundary,0.185
Idaho,Butte,0.21
Idaho,Camas,0.503
Idaho,Canyon,0.069
Idaho,Caribou,0.19
Idaho,Cassia,0.082
Idaho,Clark,0.492
Idaho,Clearwater,0.183
Idaho,Custer,0.436
Idaho,Elmore,0.198
Idaho,Franklin,0.085
Idaho,Fremont,0.481
Idaho,Gem,0.112
Idaho,Gooding,0.121
Idaho,Idaho,0.242
Idaho,Jefferson,0.082
Idaho,Jerome,0.07
Idaho,Kootenai,0.136
Idaho,Latah,0.072
Idaho,Lemhi,0.215
Idaho,Lewis,0.135
Idaho,Lincoln,0.172
Idaho,Madison,0.168
Idaho,Minidoka,0.077
Idaho,Nez Perce,0.077
Idaho,Oneida,0.18
Idaho,Owyhee,0.176
Idaho,Payette,0.097
Idaho,Power,0.129
Idaho,Shoshone,0.183
Idaho,Teton,0.344
Idaho,Twin Falls,0.081
Idaho,Valley,0.731
Idaho,Washington,0.16
Illinois,Adams,0.103
Illinois,Alexander,0.334
Illinois,Bond,0.132
Illinois,Boone,0.092
Illinois,Brown,0.128
Illinois,Bureau,0.104
Illinois,Calhoun,0.271
Illinois,Carroll,0.216
Illinois,Cass,0.103
Illinois,Champaign,0.102
Illinois,Christian,0.098
Illinois,Clark,0.142
Illinois,Clay,0.134
Illinois,Clinton,0.106
Illinois,Coles,0.102
Illinois,Cook,0.107
Illinois,Crawford,0.118
Illinois,Cumberland,0.113
Illinois,De Witt,0.091
Illinois,DeKalb,0.091
Illinois,Douglas,0.092
Illinois,DuPage,0.053
Illinois,Edgar,0.118
Illinois,Edwards,0.121
Illinois,Effingham,0.095
Illinois,Fayette,0.16
Illinois,Ford,0.107
Illinois,Franklin,0.125
Illinois,Fulton,0.111
Illinois,Gallatin,0.12
Illinois,Greene,0.142
Illinois,Grundy,0.087
Illinois,Hamilton,0.146
Illinois,Hancock,0.148
Illinois,Hardin,0.268
Illinois,Henderson,0.188
Illinois,Henry,0.088
Illinois,Iroquois,0.118
Illinois,Jackson,0.183
Illinois,Jasper,0.126
Illinois,Jefferson,0.095
Illinois,Jersey,0.115
Illinois,Jo Daviess,0.297
Illinois,Johnson,0.209
Illinois,Kane,0.059
Illinois,Kankakee,0.095
Illinois,Kendall,0.059
Illinois,Knox,0.11
Illinois,La Salle,0.114
Illinois,Lake,0.072
Illinois,Lawrence,0.153
Illinois,Lee,0.102
Illinois,Livingston,0.087
Illinois,Logan,0.086
Illinois,Macon,0.109
Illinois,Macoupin,0.119
Illinois,Madison,0.092
Illinois,Marion,0.133
Illinois,Marshall,0.155
Illinois,Mason,0.13
Illinois,Massac,0.156
Illinois,McDonough,0.158
Illinois,McHenry,0.062
Illinois,McLean,0.078
Illinois,Menard,0.09
Illinois,Mercer,0.102
Illinois,Monroe,0.072
Illinois,Montgomery,0.139
Illinois,Morgan,0.105
Illinois,Moultrie,0.083
Illinois,Ogle,0.082
Illinois,Peoria,0.088
Illinois,Perry,0.151
Illinois,Piatt,0.092
Illinois,Pike,0.159
Illinois,Pope,0.399
Illinois,Pulaski,0.256
Illinois,Putnam,0.21
Illinois,Randolph,0.136
Illinois,Richland,0.132
Illinois,Rock Island,0.082
Illinois,Saline,0.145
Illinois,Sangamon,0.083
Illinois,Schuyler,0.128
Illinois,Scott,0.128
Illinois,Shelby,0.135
Illinois,St. Clair,0.133
Illinois,Stark,0.102
Illinois,Stephenson,0.121
Illinois,Tazewell,0.063
Illinois,Union,0.152
Illinois,Vermilion,0.126
Illinois,Wabash,0.121
Illinois,Warren,0.112
Illinois,Washington,0.121
Illinois,Wayne,0.109
Illinois,White,0.134
