measure label,year,state,county,fips,value,numerator,denominator
Median Household Income (5y Average),2013, Alabama,Autauga County,1001,53682,,
Median Household Income (5y Average),2013, Alabama,Baldwin County,1003,50221,,
Median Household Income (5y Average),2013, Alabama,Barbour County,1005,32911,,
Median Household Income (5y Average),2013, Alabama,Bibb County,1007,36447,,
Median Household Income (5y Average),2013, Alabama,Blount County,1009,44145,,
Median Household Income (5y Average),2013, Alabama,Bullock County,1011,32033,,
Median Household Income (5y Average),2013, Alabama,Butler County,1013,29918,,
Median Household Income (5y Average),2013, Alabama,Calhoun County,1015,39962,,
Median Household Income (5y Average),2013, Alabama,Chambers County,1017,32402,,
Median Household Income (5y Average),2013, Alabama,Cherokee County,1019,34907,,
Median Household Income (5y Average),2013, Alabama,Chilton County,1021,41250,,
Median Household Income (5y Average),2013, Alabama,Choctaw County,1023,33941,,
Median Household Income (5y Average),2013, Alabama,Clarke County,1025,29357,,
Median Household Income (5y Average),2013, Alabama,Clay County,1027,34002,,
Median Household Income (5y Average),2013, Alabama,Cleburne County,1029,38019,,
Median Household Income (5y Average),2013, Alabama,Coffee County,1031,43768,,
Median Household Income (5y Average),2013, Alabama,Colbert County,1033,39077,,
Median Household Income (5y Average),2013, Alabama,Conecuh County,1035,24658,,
Median Household Income (5y Average),2013, Alabama,Coosa County,1037,37277,,
Median Household Income (5y Average),2013, Alabama,Covington County,1039,35869,,
Median Household Income (5y Average),2013, Alabama,Crenshaw County,1041,36275,,
Median Household Income (5y Average),2013, Alabama,Cullman County,1043,38847,,
Median Household Income (5y Average),2013, Alabama,Dale County,1045,44889,,
Median Household Income (5y Average),2013, Alabama,Dallas County,1047,26519,,
Median Household Income (5y Average),2013, Alabama,DeKalb County,1049,37851,,
Median Household Income (5y Average),2013, Alabama,Elmore County,1051,54766,,
Median Household Income (5y Average),2013, Alabama,Escambia County,1053,30687,,
Median Household Income (5y Average),2013, Alabama,Etowah County,1055,38013,,
Median Household Income (5y Average),2013, Alabama,Fayette County,1057,33838,,
Median Household Income (5y Average),2013, Alabama,Franklin County,1059,36415,,
Median Household Income (5y Average),2013, Alabama,Geneva County,1061,35625,,
Median Household Income (5y Average),2013, Alabama,Greene County,1063,24226,,
Median Household Income (5y Average),2013, Alabama,Hale County,1065,30051,,
Median Household Income (5y Average),2013, Alabama,Henry County,1067,41650,,
Median Household Income (5y Average),2013, Alabama,Houston County,1069,40948,,
Median Household Income (5y Average),2013, Alabama,Jackson County,1071,37634,,
Median Household Income (5y Average),2013, Alabama,Jefferson County,1073,45429,,
Median Household Income (5y Average),2013, Alabama,Lamar County,1075,36028,,
Median Household Income (5y Average),2013, Alabama,Lauderdale County,1077,42844,,
Median Household Income (5y Average),2013, Alabama,Lawrence County,1079,38551,,
Median Household Income (5y Average),2013, Alabama,Lee County,1081,43542,,
Median Household Income (5y Average),2013, Alabama,Limestone County,1083,48619,,
Median Household Income (5y Average),2013, Alabama,Lowndes County,1085,26230,,
Median Household Income (5y Average),2013, Alabama,Macon County,1087,30724,,
Median Household Income (5y Average),2013, Alabama,Madison County,1089,58434,,
Median Household Income (5y Average),2013, Alabama,Marengo County,1091,35079,,
Median Household Income (5y Average),2013, Alabama,Marion County,1093,32888,,
Median Household Income (5y Average),2013, Alabama,Marshall County,1095,39526,,
Median Household Income (5y Average),2013, Alabama,Mobile County,1097,43028,,
Median Household Income (5y Average),2013, Alabama,Monroe County,1099,29203,,
Median Household Income (5y Average),2013, Alabama,Montgomery County,1101,44790,,
Median Household Income (5y Average),2013, Alabama,Morgan County,1103,44800,,
Median Household Income (5y Average),2013, Alabama,Perry County,1105,28209,,
Median Household Income (5y Average),2013, Alabama,Pickens County,1107,28741,,
Median Household Income (5y Average),2013, Alabama,Pike County,1109,33090,,
Median Household Income (5y Average),2013, Alabama,Randolph County,1111,35213,,
Median Household Income (5y Average),2013, Alabama,Russell County,1113,36143,,
Median Household Income (5y Average),2013, Alabama,Shelby County,1117,68770,,
Median Household Income (5y Average),2013, Alabama,St. Clair County,1115,50786,,
Median Household Income (5y Average),2013, Alabama,Sumter County,1119,22186,,
Median Household Income (5y Average),2013, Alabama,Talladega County,1121,35439,,
Median Household Income (5y Average),2013, Alabama,Tallapoosa County,1123,39130,,
Median Household Income (5y Average),2013, Alabama,Tuscaloosa County,1125,45408,,
Median Household Income (5y Average),2013, Alabama,Walker County,1127,37566,,
Median Household Income (5y Average),2013, Alabama,Washington County,1129,42156,,
Median Household Income (5y Average),2013, Alabama,Wilcox County,1131,23642,,
Median Household Income (5y Average),2013, Alabama,Winston County,1133,32900,,
Median Household Income (5y Average),2013, Alaska,Aleutians East Borough,2013,61250,,
Median Household Income (5y Average),2013, Alaska,Aleutians West Census Area,2016,81853,,
Median Household Income (5y Average),2013, Alaska,Anchorage Municipality,2020,77454,,
Median Household Income (5y Average),2013, Alaska,Bethel Census Area,2050,51689,,
Median Household Income (5y Average),2013, Alaska,Bristol Bay Borough,2060,79531,,
Median Household Income (5y Average),2013, Alaska,Denali Borough,2068,72500,,
Median Household Income (5y Average),2013, Alaska,Dillingham Census Area,2070,54150,,
Median Household Income (5y Average),2013, Alaska,Fairbanks North Star Borough,2090,69223,,
Median Household Income (5y Average),2013, Alaska,Haines Borough,2100,52866,,
Median Household Income (5y Average),2013, Alaska,Hoonah-Angoon Census Area,2105,49545,,
Median Household Income (5y Average),2013, Alaska,Juneau City and Borough,2110,81490,,
Median Household Income (5y Average),2013, Alaska,Kenai Peninsula Borough,2122,61793,,
Median Household Income (5y Average),2013, Alaska,Ketchikan Gateway Borough,2130,62519,,
Median Household Income (5y Average),2013, Alaska,Kodiak Island Borough,2150,68718,,
Median Household Income (5y Average),2013, Alaska,Lake and Peninsula Borough,2164,51786,,
Median Household Income (5y Average),2013, Alaska,Matanuska-Susitna Borough,2170,71037,,
Median Household Income (5y Average),2013, Alaska,Nome Census Area,2180,49974,,
Median Household Income (5y Average),2013, Alaska,North Slope Borough,2185,80761,,
Median Household Income (5y Average),2013, Alaska,Northwest Arctic Borough,2188,61607,,
Median Household Income (5y Average),2013, Alaska,Petersburg Census Area,2195,63934,,
Median Household Income (5y Average),2013, Alaska,Prince of Wales-Hyder Census Area,2198,46071,,
Median Household Income (5y Average),2013, Alaska,Sitka City and Borough,2220,69405,,
Median Household Income (5y Average),2013, Alaska,Skagway Municipality,2230,71667,,
Median Household Income (5y Average),2013, Alaska,Southeast Fairbanks Census Area,2240,56801,,
Median Household Income (5y Average),2013, Alaska,Valdez-Cordova Census Area,2261,74878,,
Median Household Income (5y Average),2013, Alaska,Wade Hampton Census Area,2270,40176,,
Median Household Income (5y Average),2013, Alaska,Wrangell City and Borough,2275,45841,,
Median Household Income (5y Average),2013, Alaska,Yakutat City and Borough,2282,72500,,
Median Household Income (5y Average),2013, Alaska,Yukon-Koyukuk Census Area,2290,34710,,
Median Household Income (5y Average),2013, Arizona,Apache County,4001,31476,,
Median Household Income (5y Average),2013, Arizona,Cochise County,4003,45755,,
Median Household Income (5y Average),2013, Arizona,Coconino County,4005,49555,,
Median Household Income (5y Average),2013, Arizona,Gila County,4007,39954,,
Median Household Income (5y Average),2013, Arizona,Graham County,4009,44943,,
Median Household Income (5y Average),2013, Arizona,Greenlee County,4011,47992,,
Median Household Income (5y Average),2013, Arizona,La Paz County,4012,35776,,
Median Household Income (5y Average),2013, Arizona,Maricopa County,4013,53596,,
Median Household Income (5y Average),2013, Arizona,Mohave County,4015,39200,,
Median Household Income (5y Average),2013, Arizona,Navajo County,4017,36927,,
Median Household Income (5y Average),2013, Arizona,Pima County,4019,45841,,
Median Household Income (5y Average),2013, Arizona,Pinal County,4021,50027,,
Median Household Income (5y Average),2013, Arizona,Santa Cruz County,4023,37745,,
Median Household Income (5y Average),2013, Arizona,Yavapai County,4025,42987,,
Median Household Income (5y Average),2013, Arizona,Yuma County,4027,41595,,
Median Household Income (5y Average),2013, Arkansas,Arkansas County,5001,39633,,
Median Household Income (5y Average),2013, Arkansas,Ashley County,5003,35683,,
Median Household Income (5y Average),2013, Arkansas,Baxter County,5005,35343,,
Median Household Income (5y Average),2013, Arkansas,Benton County,5007,54515,,
Median Household Income (5y Average),2013, Arkansas,Boone County,5009,38506,,
Median Household Income (5y Average),2013, Arkansas,Bradley County,5011,30409,,
Median Household Income (5y Average),2013, Arkansas,Calhoun County,5013,30980,,
Median Household Income (5y Average),2013, Arkansas,Carroll County,5015,36584,,
Median Household Income (5y Average),2013, Arkansas,Chicot County,5017,26201,,
Median Household Income (5y Average),2013, Arkansas,Clark County,5019,32721,,
Median Household Income (5y Average),2013, Arkansas,Clay County,5021,31502,,
Median Household Income (5y Average),2013, Arkansas,Cleburne County,5023,40246,,
Median Household Income (5y Average),2013, Arkansas,Cleveland County,5025,39420,,
Median Household Income (5y Average),2013, Arkansas,Columbia County,5027,35128,,
Median Household Income (5y Average),2013, Arkansas,Conway County,5029,35225,,
Median Household Income (5y Average),2013, Arkansas,Craighead County,5031,41393,,
Median Household Income (5y Average),2013, Arkansas,Crawford County,5033,39479,,
Median Household Income (5y Average),2013, Arkansas,Crittenden County,5035,37751,,
Median Household Income (5y Average),2013, Arkansas,Cross County,5037,38085,,
Median Household Income (5y Average),2013, Arkansas,Dallas County,5039,28931,,
Median Household Income (5y Average),2013, Arkansas,Desha County,5041,28680,,
Median Household Income (5y Average),2013, Arkansas,Drew County,5043,31171,,
