measure label,year,state,county,fips,value,numerator,denominator
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Autauga County,1001,58261,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Baldwin County,1003,52895,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Barbour County,1005,44118,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Bibb County,1007,61750,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Blount County,1009,85000,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Bullock County,1011,,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Butler County,1013,26750,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Calhoun County,1015,41176,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Chambers County,1017,78224,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Cherokee County,1019,34583,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Chilton County,1021,44545,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Choctaw County,1023,33594,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Clarke County,1025,30769,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Clay County,1027,55568,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Cleburne County,1029,17396,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Coffee County,1031,41719,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Colbert County,1033,35682,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Conecuh County,1035,,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Coosa County,1037,53068,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Covington County,1039,43631,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Crenshaw County,1041,54844,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Cullman County,1043,65781,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Dale County,1045,67563,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Dallas County,1047,29375,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,DeKalb County,1049,50343,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Elmore County,1051,61458,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Escambia County,1053,23906,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Etowah County,1055,44257,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Fayette County,1057,45625,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Franklin County,1059,48500,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Geneva County,1061,45598,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Greene County,1063,42768,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Hale County,1065,23536,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Henry County,1067,63571,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Houston County,1069,50278,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Jackson County,1071,46736,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Jefferson County,1073,51985,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Lamar County,1075,62083,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Lauderdale County,1077,70852,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Lawrence County,1079,28704,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Lee County,1081,70083,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Limestone County,1083,59063,,
Median Household Income for +7-person Households (5y Avg.),2012, Alabama,Lowndes County,1085,77188,,
