measure label,year,state,county,fips,value,numerator,denominator
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Autauga County,1001,78329,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Baldwin County,1003,61793,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Barbour County,1005,41338,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Bibb County,1007,43544,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Blount County,1009,56970,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Bullock County,1011,41114,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Calhoun County,1015,52646,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Chambers County,1017,46029,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Chilton County,1021,53033,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Choctaw County,1023,54688,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Clarke County,1025,46854,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Clay County,1027,42188,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Coffee County,1031,73365,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Colbert County,1033,53388,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Covington County,1039,46893,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Crenshaw County,1041,49964,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Cullman County,1043,45373,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Dale County,1045,53750,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Dallas County,1047,37870,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,DeKalb County,1049,48606,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Elmore County,1051,68371,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Escambia County,1053,37841,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Etowah County,1055,53695,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Fayette County,1057,48854,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Henry County,1067,70856,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Houston County,1069,52687,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Jackson County,1071,42857,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Jefferson County,1073,60091,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Lamar County,1075,52043,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Lauderdale County,1077,53736,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Lawrence County,1079,52708,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Lee County,1081,55840,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Limestone County,1083,63480,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Macon County,1087,41161,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Madison County,1089,73139,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Marengo County,1091,52275,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Marion County,1093,41264,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Marshall County,1095,55897,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Mobile County,1097,55210,,
Median Household Income for 3-person Households (5y Avg.),2015, Alabama,Montgomery County,1101,56569,,
