measure label,year,state,county,fips,value,numerator,denominator
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Baldwin County,1003,0.140557483,26448,188165
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Calhoun County,1015,0.221664727,25270,114001
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Cullman County,1043,0.197444499,15607,79045
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,DeKalb County,1049,0.132594645,9334,70395
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Elmore County,1051,0.129935443,9922,76361
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Etowah County,1055,0.212490991,21819,102682
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Houston County,1069,0.191725507,19607,102266
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Jefferson County,1073,0.185941651,120297,646961
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Lauderdale County,1077,0.218818098,19884,90870
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Lee County,1081,0.246375173,34970,141938
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Limestone County,1083,0.102711208,8683,84538
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Madison County,1089,0.123348527,41369,335383
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Marshall County,1095,0.2319078,21653,93369
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Mobile County,1097,0.210585982,84891,403118
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Montgomery County,1101,0.213734016,47624,222819
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Morgan County,1103,0.162973568,19358,118780
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Shelby County,1117,0.08557114,16943,197999
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,St. Clair County,1115,0.167604506,13880,82814
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Talladega County,1121,0.245566502,19123,77873
Percent Below Federal Poverty Level (1y Avg.),2012, Alabama,Tuscaloosa County,1125,0.196689039,36962,187921
