measure label,year,state,county,fips,value,numerator,denominator
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Autauga County,1001,0.443162739,2113,4768
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Baldwin County,1003,0.416263044,6102,14659
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Barbour County,1005,0.335070342,643,1919
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Bibb County,1007,0.422563404,633,1498
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Blount County,1009,0.408759117,1960,4795
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Bullock County,1011,0.336372852,332,987
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Butler County,1013,0.359838277,534,1484
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Calhoun County,1015,0.385304868,3267,8479
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Chambers County,1017,0.337429106,714,2116
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Cherokee County,1019,0.422700584,864,2044
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Chilton County,1021,0.394615382,1539,3900
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Choctaw County,1023,0.390070915,385,987
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Clarke County,1025,0.479283303,856,1786
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Clay County,1027,0.355196774,352,991
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Cleburne County,1029,0.459107816,494,1076
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Coffee County,1031,0.415602058,1529,3679
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Colbert County,1033,0.377922088,1455,3850
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Conecuh County,1035,0.225186765,211,937
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Coosa County,1037,0.283625722,194,684
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Covington County,1039,0.412544817,1151,2790
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Crenshaw County,1041,0.581932783,554,952
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Cullman County,1043,0.433638453,2653,6118
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Dale County,1045,0.435177773,1628,3741
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Dallas County,1047,0.295395315,1020,3453
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,DeKalb County,1049,0.478374362,2566,5364
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Elmore County,1051,0.424468428,2675,6302
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Escambia County,1053,0.35809198,1051,2935
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Etowah County,1055,0.383155555,3089,8062
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Fayette County,1057,0.444821745,524,1178
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Franklin County,1059,0.405145794,1181,2915
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Geneva County,1061,0.310928673,606,1949
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Greene County,1063,0.378623188,209,552
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Hale County,1065,0.296193123,319,1077
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Henry County,1067,0.351719201,491,1396
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Houston County,1069,0.436962754,3355,7678
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Jackson County,1071,0.447644621,1834,4097
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Jefferson County,1073,0.412760615,20333,49261
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Lamar County,1075,0.45962733,592,1288
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Lauderdale County,1077,0.436075777,2947,6758
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Lawrence County,1079,0.344974786,889,2577
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Lee County,1081,0.420744807,4892,11627
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Limestone County,1083,0.437723517,2815,6431
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Lowndes County,1085,0.337037027,273,810
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Macon County,1087,0.299636364,412,1375
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Madison County,1089,0.437651217,11396,26039
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Marengo County,1091,0.41041097,749,1825
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Marion County,1093,0.42136097,935,2219
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Marshall County,1095,0.394951135,2910,7368
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Mobile County,1097,0.390893638,13118,33559
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Monroe County,1099,0.37141183,634,1707
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Montgomery County,1101,0.367033869,6364,17339
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Morgan County,1103,0.407693118,3805,9333
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Perry County,1105,0.305295944,196,642
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Pickens County,1107,0.369342178,612,1657
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Pike County,1109,0.424897105,826,1944
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Randolph County,1111,0.408899575,680,1663
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Russell County,1113,0.352452636,1358,3853
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Shelby County,1117,0.46273759,7985,17256
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,St. Clair County,1115,0.409802139,3169,7733
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Sumter County,1119,0.262605041,250,952
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Talladega County,1121,0.387704283,2491,6425
Percent of +4 Person Households with 2 Workers (5y Avg.),2012, Alabama,Tallapoosa County,1123,0.368794322,1092,2961
