measure label,year,state,county,fips,value,numerator,denominator
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Autauga County,1001,0.066484898,317,4768
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Baldwin County,1003,0.076744661,1125,14659
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Barbour County,1005,0.173527882,333,1919
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Bibb County,1007,0.064753003,97,1498
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Blount County,1009,0.131178305,629,4795
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Bullock County,1011,0.20364742,201,987
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Butler County,1013,0.18261455,271,1484
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Calhoun County,1015,0.125722378,1066,8479
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Chambers County,1017,0.190926269,404,2116
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Cherokee County,1019,0.146771044,300,2044
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Chilton County,1021,0.104102567,406,3900
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Choctaw County,1023,0.224924013,222,987
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Clarke County,1025,0.15509519,277,1786
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Clay County,1027,0.110998988,110,991
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Cleburne County,1029,0.141263947,152,1076
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Coffee County,1031,0.085077465,313,3679
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Colbert County,1033,0.122857146,473,3850
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Conecuh County,1035,0.26040554,244,937
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Coosa County,1037,0.222222224,152,684
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Covington County,1039,0.115412183,322,2790
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Crenshaw County,1041,0.048319329,46,952
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Cullman County,1043,0.083360575,510,6118
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Dale County,1045,0.08340016,312,3741
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Dallas County,1047,0.273095846,943,3453
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,DeKalb County,1049,0.059843399,321,5364
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Elmore County,1051,0.07362742,464,6302
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Escambia County,1053,0.129131168,379,2935
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Etowah County,1055,0.141776234,1143,8062
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Fayette County,1057,0.112054333,132,1178
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Franklin County,1059,0.089536875,261,2915
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Geneva County,1061,0.139045671,271,1949
Percent of +4 Person Households with No Workers (5y Avg.),2012, Alabama,Greene County,1063,0.211956516,117,552
