measure label,year,state,county,fips,value,numerator,denominator
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Autauga County,1001,0.538937867,2872,5329
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Baldwin County,1003,0.516872883,10737,20773
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Barbour County,1005,0.633793354,1883,2971
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Bibb County,1007,0.728911757,1132,1553
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Blount County,1009,0.58440733,2766,4733
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Bullock County,1011,0.710034013,835,1176
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Butler County,1013,0.612048209,1524,2490
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Calhoun County,1015,0.586245298,7365,12563
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Chambers County,1017,0.584042549,2745,4700
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Cherokee County,1019,0.709436536,2090,2946
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Chilton County,1021,0.621830463,2575,4141
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Choctaw County,1023,0.690274835,1306,1892
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Clarke County,1025,0.724756241,2304,3179
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Clay County,1027,0.624443054,981,1571
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Cleburne County,1029,0.70588237,1080,1530
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Coffee County,1031,0.524314463,2868,5470
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Colbert County,1033,0.59943229,3801,6341
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Conecuh County,1035,0.726769209,1181,1625
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Coosa County,1037,0.650956273,953,1464
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Covington County,1039,0.677522063,2767,4084
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Crenshaw County,1041,0.683491707,1151,1684
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Cullman County,1043,0.655225277,5555,8478
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Dale County,1045,0.569345713,3124,5487
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Dallas County,1047,0.692390501,3858,5572
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,DeKalb County,1049,0.636323571,4334,6811
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Elmore County,1051,0.500554025,3614,7220
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Escambia County,1053,0.699413836,2983,4265
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Etowah County,1055,0.62946713,6887,10941
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Fayette County,1057,0.689045966,1365,1981
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Franklin County,1059,0.657151818,2095,3188
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Geneva County,1061,0.646823943,1782,2755
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Greene County,1063,0.685185194,851,1242
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Hale County,1065,0.71026051,1336,1881
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Henry County,1067,0.696018755,1486,2135
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Houston County,1069,0.53144902,6092,11463
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Jackson County,1071,0.678350151,3832,5649
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Jefferson County,1073,0.489798397,40234,82144
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Lamar County,1075,0.654103339,1076,1645
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Lauderdale County,1077,0.608058929,7017,11540
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Lawrence County,1079,0.661914468,2275,3437
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Lee County,1081,0.43317914,6742,15564
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Limestone County,1083,0.555238307,4473,8056
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Lowndes County,1085,0.783211708,1073,1370
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Macon County,1087,0.61289233,1816,2963
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Madison County,1089,0.411957115,17254,41883
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Marengo County,1091,0.72733444,2142,2945
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Marion County,1093,0.66206032,2108,3184
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Marshall County,1095,0.647293925,5669,8758
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Mobile County,1097,0.527882218,23306,44150
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Monroe County,1099,0.777586222,2255,2900
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Montgomery County,1101,0.461311847,12997,28174
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Morgan County,1103,0.586953163,7621,12984
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Perry County,1105,0.789473712,840,1064
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Pickens County,1107,0.672439754,1786,2656
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Pike County,1109,0.528261423,1972,3733
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Randolph County,1111,0.677777767,1769,2610
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Russell County,1113,0.543772578,3615,6648
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Shelby County,1117,0.40351066,7517,18629
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,St. Clair County,1115,0.553475559,4228,7639
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Sumter County,1119,0.63924402,1150,1799
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Talladega County,1121,0.656013727,5727,8730
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Tallapoosa County,1123,0.641423345,2812,4384
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Tuscaloosa County,1125,0.501212299,9509,18972
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Walker County,1127,0.674425542,4520,6702
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Washington County,1129,0.714091241,1049,1469
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Wilcox County,1131,0.709923685,930,1310
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alabama,Winston County,1133,0.688706219,1927,2798
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Aleutians East Borough,2013,0.247474745,49,198
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Aleutians West Census Area,2016,0.163690478,55,336
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Anchorage Municipality,2020,0.327823907,8846,26984
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Bethel Census Area,2050,0.419440746,315,751
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Bristol Bay Borough,2060,0.247619048,26,105
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Denali Borough,2068,0.417777777,94,225
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Dillingham Census Area,2070,0.381868124,139,364
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Fairbanks North Star Borough,2090,0.353025347,3454,9784
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Haines Borough,2100,0.601744175,207,344
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Hoonah-Angoon Census Area,2105,0.410958916,120,292
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Juneau City and Borough,2110,0.384809315,1221,3173
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Kenai Peninsula Borough,2122,0.533343792,3399,6373
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Ketchikan Gateway Borough,2130,0.452768743,695,1535
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Kodiak Island Borough,2150,0.382474214,371,970
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Kusilvak Census Area,2158,0.591111124,133,225
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Lake and Peninsula Borough,2164,0.436090231,58,133
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Matanuska-Susitna Borough,2170,0.491329491,3315,6747
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,Nome Census Area,2180,0.443535179,271,611
Percent of 1 Person Households with No Workers (5y Avg.),2015, Alaska,North Slope Borough,2185,0.4609375,177,384
