measure label,year,state,county,fips,value,numerator,denominator
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Autauga County,1001,0.360599756,2429,6736
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Baldwin County,1003,0.288313985,8492,29454
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Barbour County,1005,0.224773616,695,3092
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Bibb County,1007,0.176162183,504,2861
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Blount County,1009,0.277944386,2039,7336
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Bullock County,1011,0.234320551,269,1148
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Butler County,1013,0.247900575,738,2977
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Calhoun County,1015,0.229999378,3700,16087
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Chambers County,1017,0.284462154,1428,5020
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Cherokee County,1019,0.22531645,979,4345
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Chilton County,1021,0.262661099,1447,5509
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Choctaw County,1023,0.195850208,387,1976
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Clarke County,1025,0.212833002,743,3491
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Clay County,1027,0.258048534,521,2019
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Cleburne County,1029,0.237220839,478,2015
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Coffee County,1031,0.290627301,1969,6775
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Colbert County,1033,0.245589599,2116,8616
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Conecuh County,1035,0.146904513,280,1906
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Coosa County,1037,0.251635939,423,1681
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Covington County,1039,0.249507084,1392,5579
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Crenshaw County,1041,0.261280179,498,1906
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Cullman County,1043,0.282880545,3280,11595
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Dale County,1045,0.27093935,1970,7271
Percent of 2 Person Households with 2 Workers (5y Avg.),2014, Alabama,Dallas County,1047,0.228891149,1125,4915
