measure label,year,state,county,fips,value,numerator,denominator
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Baldwin County,1003,,2065,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Calhoun County,1015,,1197,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Cullman County,1043,,1729,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,DeKalb County,1049,,1641,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Elmore County,1051,,544,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Etowah County,1055,,2381,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Houston County,1069,,1413,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Jefferson County,1073,0.104752548,9599,91635
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Lauderdale County,1077,,772,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Lee County,1081,,1362,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Limestone County,1083,,1318,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Madison County,1089,,3558,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Marshall County,1095,,1590,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Mobile County,1097,,7776,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Montgomery County,1101,,3062,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Morgan County,1103,,1836,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Shelby County,1117,,1151,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,St. Clair County,1115,,705,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Talladega County,1121,,851,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Tuscaloosa County,1125,,1459,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alabama,Walker County,1127,,971,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alaska,Anchorage Municipality,2020,,1423,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alaska,Fairbanks North Star Borough,2090,,129,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Alaska,Matanuska-Susitna Borough,2170,,310,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Arizona,Apache County,4001,,2698,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Arizona,Cochise County,4003,,3158,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Arizona,Coconino County,4005,,1440,
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Arizona,Maricopa County,4013,0.080899023,43535,538140
Percent of Senior Population Below Federal Poverty Level (1y Avg.),2013, Arizona,Mohave County,4015,,3541,
