measure label,year,state,county,fips,value,numerator,denominator
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Autauga County,1001,0.988341451,51373,51979
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Baldwin County,1003,0.978464663,180651,184627
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Barbour County,1005,0.974269331,24801,25456
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Bibb County,1007,0.992594659,21312,21471
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Blount County,1009,0.966860533,52370,54165
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Bullock County,1011,0.969409168,9697,10003
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Butler County,1013,0.990999937,18939,19111
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Calhoun County,1015,0.985113621,108197,109832
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Chambers County,1017,0.995973647,31910,32039
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Cherokee County,1019,0.999231458,24704,24723
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Chilton County,1021,0.962096632,39445,40999
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Choctaw County,1023,0.999450266,12726,12733
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Clarke County,1025,0.991609037,23517,23716
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Clay County,1027,0.982576251,12632,12856
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Cleburne County,1029,0.988101125,13951,14119
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Coffee County,1031,0.968160748,46159,47677
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Colbert County,1033,0.990561426,50900,51385
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Conecuh County,1035,0.987371027,11962,12115
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Coosa County,1037,0.992375851,10413,10493
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Covington County,1039,0.989878595,35306,35667
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Crenshaw County,1041,0.981006384,12809,13057
Percentage of Population Who Speak English 'Very Well' (5y Avg.),2015, Alabama,Cullman County,1043,0.979693949,74589,76135
