measure label,year,state,county,fips,value,numerator,denominator
Unemployment Rate (5y Avg.),2012, Alabama,Autauga County,1001,0.083447076,2262,27107
Unemployment Rate (5y Avg.),2012, Alabama,Baldwin County,1003,0.084527798,7513,88882
Unemployment Rate (5y Avg.),2012, Alabama,Barbour County,1005,0.135254785,1436,10617
Unemployment Rate (5y Avg.),2012, Alabama,Bibb County,1007,0.104562938,1006,9621
Unemployment Rate (5y Avg.),2012, Alabama,Blount County,1009,0.100098766,2635,26324
Unemployment Rate (5y Avg.),2012, Alabama,Bullock County,1011,0.143007144,681,4762
Unemployment Rate (5y Avg.),2012, Alabama,Butler County,1013,0.137585372,1249,9078
Unemployment Rate (5y Avg.),2012, Alabama,Calhoun County,1015,0.132003024,7151,54173
Unemployment Rate (5y Avg.),2012, Alabama,Chambers County,1017,0.160446793,2485,15488
Unemployment Rate (5y Avg.),2012, Alabama,Cherokee County,1019,0.10445191,1213,11613
Unemployment Rate (5y Avg.),2012, Alabama,Chilton County,1021,0.113306075,2300,20299
Unemployment Rate (5y Avg.),2012, Alabama,Choctaw County,1023,0.156290889,836,5349
Unemployment Rate (5y Avg.),2012, Alabama,Clarke County,1025,0.167003557,1735,10389
Unemployment Rate (5y Avg.),2012, Alabama,Clay County,1027,0.116675012,699,5991
Unemployment Rate (5y Avg.),2012, Alabama,Cleburne County,1029,0.122464202,821,6704
Unemployment Rate (5y Avg.),2012, Alabama,Coffee County,1031,0.069572471,1585,22782
Unemployment Rate (5y Avg.),2012, Alabama,Colbert County,1033,0.086850055,2128,24502
Unemployment Rate (5y Avg.),2012, Alabama,Conecuh County,1035,0.236352727,1182,5001
Unemployment Rate (5y Avg.),2012, Alabama,Coosa County,1037,0.137821779,696,5050
Unemployment Rate (5y Avg.),2012, Alabama,Covington County,1039,0.101580136,1710,16834
Unemployment Rate (5y Avg.),2012, Alabama,Crenshaw County,1041,0.085356422,552,6467
Unemployment Rate (5y Avg.),2012, Alabama,Cullman County,1043,0.092078246,3408,37012
Unemployment Rate (5y Avg.),2012, Alabama,Dale County,1045,0.079255998,1926,24301
Unemployment Rate (5y Avg.),2012, Alabama,Dallas County,1047,0.193425253,3395,17552
Unemployment Rate (5y Avg.),2012, Alabama,DeKalb County,1049,0.110210955,3469,31476
Unemployment Rate (5y Avg.),2012, Alabama,Elmore County,1051,0.083708465,3217,38431
Unemployment Rate (5y Avg.),2012, Alabama,Escambia County,1053,0.14824456,2221,14982
