measure label,year,state,county,fips,perc_poor_english_5y2012,numerator,denominator
perc_poor_english_5y,2012, Alabama,Autauga County,1001,0.007833768,400,51061
perc_poor_english_5y,2012, Alabama,Baldwin County,1003,0.025533697,4392,172008
perc_poor_english_5y,2012, Alabama,Barbour County,1005,0.026495693,686,25891
perc_poor_english_5y,2012, Alabama,Bibb County,1007,0.005965419,128,21457
perc_poor_english_5y,2012, Alabama,Blount County,1009,0.042287264,2277,53846
perc_poor_english_5y,2012, Alabama,Bullock County,1011,0.031757023,321,10108
perc_poor_english_5y,2012, Alabama,Butler County,1013,0.008025517,156,19438
perc_poor_english_5y,2012, Alabama,Calhoun County,1015,0.017841971,1974,110638
perc_poor_english_5y,2012, Alabama,Chambers County,1017,0.007459207,240,32175
perc_poor_english_5y,2012, Alabama,Cherokee County,1019,0.002123056,52,24493
perc_poor_english_5y,2012, Alabama,Chilton County,1021,0.035301939,1434,40621
perc_poor_english_5y,2012, Alabama,Choctaw County,1023,0.000688231,9,13077
perc_poor_english_5y,2012, Alabama,Clarke County,1025,0.00251536,61,24251
perc_poor_english_5y,2012, Alabama,Clay County,1027,0.018448766,240,13009
perc_poor_english_5y,2012, Alabama,Cleburne County,1029,0.008883794,124,13958
perc_poor_english_5y,2012, Alabama,Coffee County,1031,0.034113355,1589,46580
perc_poor_english_5y,2012, Alabama,Colbert County,1033,0.012403131,637,51358
perc_poor_english_5y,2012, Alabama,Conecuh County,1035,0.003943662,49,12425
perc_poor_english_5y,2012, Alabama,Coosa County,1037,0.006690206,72,10762
perc_poor_english_5y,2012, Alabama,Covington County,1039,0.009960608,354,35540
perc_poor_english_5y,2012, Alabama,Crenshaw County,1041,0.020430025,267,13069
perc_poor_english_5y,2012, Alabama,Cullman County,1043,0.022680603,1712,75483
perc_poor_english_5y,2012, Alabama,Dale County,1045,0.021683948,1008,46486
perc_poor_english_5y,2012, Alabama,Dallas County,1047,0.004804953,194,40375
perc_poor_english_5y,2012, Alabama,DeKalb County,1049,0.063210547,4170,65970
