measure label,year,state,county,fips,perc_seniors_below_poverty_1y2013,numerator,denominator
perc_seniors_below_poverty_1y,2013, Alabama,Baldwin County,1003,,2065,
perc_seniors_below_poverty_1y,2013, Alabama,Calhoun County,1015,,1197,
perc_seniors_below_poverty_1y,2013, Alabama,Cullman County,1043,,1729,
perc_seniors_below_poverty_1y,2013, Alabama,DeKalb County,1049,,1641,
perc_seniors_below_poverty_1y,2013, Alabama,Elmore County,1051,,544,
perc_seniors_below_poverty_1y,2013, Alabama,Etowah County,1055,,2381,
perc_seniors_below_poverty_1y,2013, Alabama,Houston County,1069,,1413,
perc_seniors_below_poverty_1y,2013, Alabama,Jefferson County,1073,0.104752548,9599,91635
perc_seniors_below_poverty_1y,2013, Alabama,Lauderdale County,1077,,772,
perc_seniors_below_poverty_1y,2013, Alabama,Lee County,1081,,1362,
perc_seniors_below_poverty_1y,2013, Alabama,Limestone County,1083,,1318,
perc_seniors_below_poverty_1y,2013, Alabama,Madison County,1089,,3558,
perc_seniors_below_poverty_1y,2013, Alabama,Marshall County,1095,,1590,
perc_seniors_below_poverty_1y,2013, Alabama,Mobile County,1097,,7776,
perc_seniors_below_poverty_1y,2013, Alabama,Montgomery County,1101,,3062,
perc_seniors_below_poverty_1y,2013, Alabama,Morgan County,1103,,1836,
perc_seniors_below_poverty_1y,2013, Alabama,Shelby County,1117,,1151,
perc_seniors_below_poverty_1y,2013, Alabama,St. Clair County,1115,,705,
perc_seniors_below_poverty_1y,2013, Alabama,Talladega County,1121,,851,
perc_seniors_below_poverty_1y,2013, Alabama,Tuscaloosa County,1125,,1459,
perc_seniors_below_poverty_1y,2013, Alabama,Walker County,1127,,971,
perc_seniors_below_poverty_1y,2013, Alaska,Anchorage Municipality,2020,,1423,
perc_seniors_below_poverty_1y,2013, Alaska,Fairbanks North Star Borough,2090,,129,
perc_seniors_below_poverty_1y,2013, Alaska,Matanuska-Susitna Borough,2170,,310,
perc_seniors_below_poverty_1y,2013, Arizona,Apache County,4001,,2698,
perc_seniors_below_poverty_1y,2013, Arizona,Cochise County,4003,,3158,
perc_seniors_below_poverty_1y,2013, Arizona,Coconino County,4005,,1440,
perc_seniors_below_poverty_1y,2013, Arizona,Maricopa County,4013,0.080899023,43535,538140
perc_seniors_below_poverty_1y,2013, Arizona,Mohave County,4015,,3541,
perc_seniors_below_poverty_1y,2013, Arizona,Navajo County,4017,,2369,
perc_seniors_below_poverty_1y,2013, Arizona,Pima County,4019,0.081407383,13924,171041
perc_seniors_below_poverty_1y,2013, Arizona,Pinal County,4021,,5288,
perc_seniors_below_poverty_1y,2013, Arizona,Yavapai County,4025,,5323,
perc_seniors_below_poverty_1y,2013, Arizona,Yuma County,4027,,4477,
perc_seniors_below_poverty_1y,2013, Arkansas,Benton County,5007,,2411,
perc_seniors_below_poverty_1y,2013, Arkansas,Craighead County,5031,,1007,
perc_seniors_below_poverty_1y,2013, Arkansas,Faulkner County,5045,,520,
perc_seniors_below_poverty_1y,2013, Arkansas,Garland County,5051,,2014,
perc_seniors_below_poverty_1y,2013, Arkansas,Jefferson County,5069,,2018,
perc_seniors_below_poverty_1y,2013, Arkansas,Lonoke County,5085,,883,
perc_seniors_below_poverty_1y,2013, Arkansas,Pulaski County,5119,,3498,
perc_seniors_below_poverty_1y,2013, Arkansas,Saline County,5125,,715,
perc_seniors_below_poverty_1y,2013, Arkansas,Sebastian County,5131,,3050,
perc_seniors_below_poverty_1y,2013, Arkansas,Washington County,5143,,1872,
perc_seniors_below_poverty_1y,2013, Arkansas,White County,5145,,1318,
perc_seniors_below_poverty_1y,2013, California,Alameda County,6001,0.080356769,15442,192168
perc_seniors_below_poverty_1y,2013, California,Butte County,6007,,2854,
perc_seniors_below_poverty_1y,2013, California,Contra Costa County,6013,0.06789013,10262,151156
perc_seniors_below_poverty_1y,2013, California,El Dorado County,6017,,2532,
perc_seniors_below_poverty_1y,2013, California,Fresno County,6019,0.122858271,12742,103713
perc_seniors_below_poverty_1y,2013, California,Humboldt County,6023,,1465,
perc_seniors_below_poverty_1y,2013, California,Imperial County,6025,,3538,
perc_seniors_below_poverty_1y,2013, California,Kern County,6029,0.107390285,8944,83285
perc_seniors_below_poverty_1y,2013, California,Kings County,6031,,1144,
perc_seniors_below_poverty_1y,2013, California,Lake County,6033,,842,
perc_seniors_below_poverty_1y,2013, California,Los Angeles County,6037,0.134114757,159204,1187073
perc_seniors_below_poverty_1y,2013, California,Madera County,6039,,3364,
perc_seniors_below_poverty_1y,2013, California,Marin County,6041,,2600,
perc_seniors_below_poverty_1y,2013, California,Mendocino County,6045,,1623,
