year,county,state,copd_apc_2013,copd_prev,asthma_prev,tobacco_prev,med_income_5y,perc_below_poverty_1y,perc_below_poverty_5y,unemployment_1y,unemployment_5y,num_days_rain,perc_cultivated_land_use,perc_forest_cover,perc_park_proximity,rural_urban,total_pollutants,acetaldehyde,benzene,formaldehyde,copd_apc_2014,apc_percent_diff
2013,Autauga,ALABAMA,1710,13,4,7,53682,,0.121333845,,0.091546439,112,0.077,0.507,0.2,1,10.8,3.59,0.54,2.87,1196,-0.300584795
2013,Baldwin,ALABAMA,1233,10,4,7,50221,0.145265698,0.139407232,0.07399293,0.091930799,141,0.103,0.356,0.05,1,9.6,2.44,0.31,1.89,1346,0.091646391
2013,Barbour,ALABAMA,1583,11,5,9,32911,,0.266568422,,0.142988175,122,0.072,0.566,0.04,2,10.1,3.34,0.35,2.52,1580,-0.001895136
2013,Bibb,ALABAMA,1606,13,6,10,36447,,0.181378245,,0.122047246,129,0.009,0.746,0,1,10.5,3.47,0.35,2.72,1523,-0.051681196
2013,Blount,ALABAMA,1365,13,5,10,44145,,0.158112392,,0.097284801,119,0.056,0.505,0.01,1,11.3,2.97,0.36,2.26,1503,0.101098901
2013,Bullock,ALABAMA,1464,10,4,6,32033,,0.21589689,,0.149770543,119,0.053,0.546,0.01,2,9.8,3.47,0.31,2.65,1513,0.033469945
2013,Butler,ALABAMA,1666,16,5,9,29918,,0.28439194,,0.147755191,134,0.024,0.631,0.1,2,9.4,3.42,0.35,2.64,1363,-0.181872749
2013,Calhoun,ALABAMA,1619,15,5,11,39962,0.2182955,0.218637049,0.156788021,0.141246632,126,0.034,0.604,0.17,1,11.6,3.15,0.5,2.44,1514,-0.064854849
2013,Chambers,ALABAMA,1067,14,4,9,32402,,0.241093442,,0.171764851,126,0.001,0.613,0.02,2,10.4,3.21,0.38,2.44,891,-0.164948454
2013,Cherokee,ALABAMA,1662,17,4,11,34907,,0.211962268,,0.104922622,133,0.098,0.511,0.03,2,10.8,2.97,0.38,2.2,1782,0.072202166
2013,Chilton,ALABAMA,1696,14,5,10,41250,,0.195168748,,0.102626018,123,0.028,0.6,0.01,1,10.5,3.36,0.35,2.67,1592,-0.061320755
2013,Choctaw,ALABAMA,2247,10,3,8,33941,,0.214967802,,0.141060695,130,0.014,0.693,0.05,2,9.6,3.48,0.24,2.61,1664,-0.259457054
2013,Clarke,ALABAMA,1773,10,4,5,29357,,0.293273211,,0.188763827,128,0.005,0.688,0.01,2,9.6,3.49,0.28,2.56,1955,0.102650874
2013,Clay,ALABAMA,1210,17,5,10,34002,,0.189665467,,0.1289175,132,0,0.768,0.04,2,9.9,3.05,0.31,2.31,1345,0.111570248
2013,Cleburne,ALABAMA,2047,16,4,12,38019,,0.184498847,,0.111808851,139,0,0.747,0.01,2,10.3,3.04,0.32,2.3,1951,-0.046897899
2013,Coffee,ALABAMA,1258,13,6,9,43768,,0.185505733,,0.071897998,122,0.142,0.513,0,2,9.6,3.25,0.37,2.42,1351,0.073926868
2013,Colbert,ALABAMA,1399,16,5,12,39077,,0.178940922,,0.098910309,129,0.105,0.449,0.02,1,10.2,2.94,0.41,2.29,1547,0.10578985
2013,Conecuh,ALABAMA,2312,19,4,6,24658,,0.326993853,,0.247873396,132,0.034,0.671,0.02,2,9.1,3.36,0.28,2.54,2005,-0.132785467
2013,Coosa,ALABAMA,2398,14,4,9,37277,,0.208944276,,0.177111164,124,0.001,0.769,0.02,2,10.2,3.29,0.3,2.54,1742,-0.273561301
2013,Covington,ALABAMA,1426,17,4,10,35869,,0.199957028,,0.109527782,130,0.034,0.587,0.11,2,9.2,3.25,0.32,2.35,1373,-0.0371669
2013,Crenshaw,ALABAMA,1777,15,4,9,36275,,0.19056274,,0.094875455,139,0.051,0.578,0,2,9.5,3.36,0.28,2.52,2144,0.206527856
2013,Cullman,ALABAMA,1516,14,4,10,38847,0.155117914,0.187728316,0.070653111,0.096932784,132,0.058,0.397,0,2,11.3,2.97,0.4,2.24,1393,-0.081134565
2013,Dale,ALABAMA,1212,14,5,10,44889,,0.173616394,,0.093598105,126,0.134,0.5,0.02,2,9.8,3.23,0.38,2.46,1509,0.245049505
2013,Dallas,ALABAMA,1604,11,5,10,26519,,0.355027795,,0.199850857,114,0.071,0.42,0.05,2,10.1,3.56,0.53,2.75,1704,0.06234414
2013,DeKalb,ALABAMA,1753,15,4,10,37851,0.166248366,0.198761836,,0.11367093,140,0.073,0.458,0.03,2,10.7,2.7,0.33,2,1727,-0.014831717
2013,Elmore,ALABAMA,1340,13,4,7,54766,0.120386049,0.133712158,,0.088225208,114,0.07,0.538,0.03,1,11.1,3.49,0.41,2.8,1243,-0.07238806
2013,Escambia,ALABAMA,1760,13,5,10,30687,,0.254495054,,0.156302631,135,0.115,0.539,0.01,2,9.1,3.22,0.35,2.4,1735,-0.014204545
2013,Etowah,ALABAMA,1771,17,6,10,38013,0.188662514,0.190152645,0.101793855,0.117241383,118,0.045,0.493,0.05,1,11.2,3.12,0.57,2.41,1570,-0.1134952
2013,Fayette,ALABAMA,1416,18,5,12,33838,,0.198671177,,0.097546645,133,0.045,0.702,0.01,2,10,3.23,0.29,2.52,1191,-0.158898305
2013,Franklin,ALABAMA,1846,18,4,11,36415,,0.219079912,,0.100042693,123,0.02,0.54,0,2,9.9,2.88,0.32,2.18,1892,0.024918743
2013,Geneva,ALABAMA,1666,15,6,11,35625,,0.212133855,,0.093713522,120,0.232,0.32,0.04,1,9.3,3.13,0.32,2.27,1353,-0.18787515
2013,Greene,ALABAMA,2890,12,8,9,24226,,0.328759432,,0.240549833,114,0.037,0.467,0.01,2,9.6,3.42,0.3,2.77,2294,-0.206228374
2013,Hale,ALABAMA,1344,12,6,9,30051,,0.265825272,,0.161789492,121,0.044,0.465,0.04,1,9.9,3.45,0.3,2.71,1330,-0.010416667
2013,Henry,ALABAMA,1513,9,5,8,41650,,0.143559724,,0.120367974,119,0.211,0.447,0.01,1,9.7,3.14,0.31,2.35,1340,-0.114342366
2013,Houston,ALABAMA,1575,11,6,10,40948,0.178883806,0.180326089,0.084977426,0.081675202,122,0.315,0.254,0.01,1,9.5,3.11,0.51,2.34,1357,-0.138412698
2013,Jackson,ALABAMA,1602,16,5,12,37634,,0.159596309,,0.101838931,138,0.068,0.591,0.03,2,10.7,2.66,0.37,2.01,1665,0.039325843
2013,Jefferson,ALABAMA,1290,9,5,7,45429,0.190351039,0.179928094,0.085609645,0.102939323,129,0.011,0.573,0.32,1,12.9,3.34,0.67,2.68,1161,-0.1
2013,Lamar,ALABAMA,1664,17,3,10,36028,,0.222502977,,0.100320511,129,0.017,0.633,0,2,9.7,3.17,0.26,2.49,1662,-0.001201923
2013,Lauderdale,ALABAMA,1448,13,5,9,42844,0.166077822,0.17195788,0.068086952,0.09148287,136,0.117,0.344,0.16,1,10.5,2.9,0.5,2.22,1466,0.012430939
2013,Lawrence,ALABAMA,1669,16,5,13,38551,,0.175470307,,0.127002209,139,0.103,0.395,0.02,1,10.9,2.92,0.33,2.15,1423,-0.147393649
