year,county,state,copd_apc_2015,copd_prev,asthma_prev,tobacco_prev,med_income_5y,perc_below_poverty_1y,perc_below_poverty_5y,unemployment_1y,unemployment_5y,num_days_rain,perc_cultivated_land_use,perc_forest_cover,perc_park_proximity,rural_urban,total_pollutants,acetaldehyde,benzene,formaldehyde
2015,Autauga,ALABAMA,1506,13,9,8,51281,,0.128793821,,0.075108841,112,0.077,0.507,0.2,1,10.8,3.59,0.54,2.87
2015,Baldwin,ALABAMA,1270,11,8,7,50254,0.127944544,0.134116605,0.050858438,0.074833363,141,0.103,0.356,0.05,1,9.6,2.44,0.31,1.89
2015,Barbour,ALABAMA,1326,10,8,11,32964,,0.26727438,,0.17645368,122,0.072,0.566,0.04,2,10.1,3.34,0.35,2.52
2015,Bibb,ALABAMA,1622,13,9,10,38678,,0.167958781,,0.083103105,129,0.009,0.746,0,1,10.5,3.47,0.35,2.72
2015,Blount,ALABAMA,1516,14,10,10,45813,,0.167209327,,0.07658425,119,0.056,0.505,0.01,1,11.3,2.97,0.36,2.26
2015,Bullock,ALABAMA,1764,12,7,8,31938,,0.246187359,,0.179753825,119,0.053,0.546,0.01,2,9.8,3.47,0.31,2.65
2015,Butler,ALABAMA,1392,16,10,9,32229,,0.253647357,,0.108725287,134,0.024,0.631,0.1,2,9.4,3.42,0.35,2.64
2015,Calhoun,ALABAMA,1569,15,10,12,41703,0.199585974,0.205322087,0.100265406,0.122106075,126,0.034,0.604,0.17,1,11.6,3.15,0.5,2.44
2015,Chambers,ALABAMA,1264,14,8,9,34177,,0.215899304,,0.08895237,126,0.001,0.613,0.02,2,10.4,3.21,0.38,2.44
2015,Cherokee,ALABAMA,1470,18,12,13,36296,,0.192297161,,0.078995101,133,0.098,0.511,0.03,2,10.8,2.97,0.38,2.2
2015,Chilton,ALABAMA,1586,12,9,11,41627,,0.191488385,,0.091430314,123,0.028,0.6,0.01,1,10.5,3.36,0.35,2.67
2015,Choctaw,ALABAMA,2277,11,5,8,33536,,0.234282687,,0.135766134,130,0.014,0.693,0.05,2,9.6,3.48,0.24,2.61
2015,Clarke,ALABAMA,1797,10,5,5,32011,,0.247417256,,0.193736419,128,0.005,0.688,0.01,2,9.6,3.49,0.28,2.56
2015,Clay,ALABAMA,1298,14,10,10,35327,,0.166502759,,0.093531467,132,0,0.768,0.04,2,9.9,3.05,0.31,2.31
2015,Cleburne,ALABAMA,1570,17,10,13,38056,,0.169723213,,0.083005749,139,0,0.747,0.01,2,10.3,3.04,0.32,2.3
2015,Coffee,ALABAMA,1551,13,10,10,46729,,0.170827359,,0.06681738,122,0.142,0.513,0,2,9.6,3.25,0.37,2.42
2015,Colbert,ALABAMA,1494,16,11,12,40576,,0.17420131,,0.090133153,129,0.105,0.449,0.02,1,10.2,2.94,0.41,2.29
2015,Conecuh,ALABAMA,1812,20,12,7,24900,,0.337790281,,0.22573927,132,0.034,0.671,0.02,2,9.1,3.36,0.28,2.54
2015,Coosa,ALABAMA,1692,14,9,9,31212,,0.192837209,,0.170185268,124,0.001,0.769,0.02,2,10.2,3.29,0.3,2.54
2015,Covington,ALABAMA,1725,17,11,12,36444,,0.202184618,,0.111901201,130,0.034,0.587,0.11,2,9.2,3.25,0.32,2.35
2015,Crenshaw,ALABAMA,1932,15,8,9,36022,,0.166776001,,0.096882492,139,0.051,0.578,0,2,9.5,3.36,0.28,2.52
2015,Cullman,ALABAMA,1416,14,9,10,38971,0.220917881,0.185441568,,0.072459608,132,0.058,0.397,0,2,11.3,2.97,0.4,2.24
2015,Dale,ALABAMA,1464,14,10,11,45028,,0.191386968,,0.098527454,126,0.134,0.5,0.02,2,9.8,3.23,0.38,2.46
2015,Dallas,ALABAMA,1742,11,8,9,27306,,0.350076824,,0.163596511,114,0.071,0.42,0.05,2,10.1,3.56,0.53,2.75
2015,DeKalb,ALABAMA,1652,15,9,11,38192,0.205073521,0.186890751,,0.077137731,140,0.073,0.458,0.03,2,10.7,2.7,0.33,2
2015,Elmore,ALABAMA,1409,13,7,7,53555,0.137852609,0.136424243,,0.081611209,114,0.07,0.538,0.03,1,11.1,3.49,0.41,2.8
2015,Escambia,ALABAMA,1630,15,8,10,32330,,0.242438748,,0.156327203,135,0.115,0.539,0.01,2,9.1,3.22,0.35,2.4
2015,Etowah,ALABAMA,1705,17,12,11,39220,0.181014732,0.196638793,0.045505162,0.090072438,118,0.045,0.493,0.05,1,11.2,3.12,0.57,2.41
2015,Fayette,ALABAMA,1408,16,10,14,34680,,0.183241367,,0.100117438,133,0.045,0.702,0.01,2,10,3.23,0.29,2.52
2015,Franklin,ALABAMA,1945,19,11,12,35372,,0.224769473,,0.097605892,123,0.02,0.54,0,2,9.9,2.88,0.32,2.18
2015,Geneva,ALABAMA,1580,15,11,12,36024,,0.23230949,,0.110932745,120,0.232,0.32,0.04,1,9.3,3.13,0.32,2.27
2015,Greene,ALABAMA,2630,11,11,11,20541,,0.402382612,,0.203960389,114,0.037,0.467,0.01,2,9.6,3.42,0.3,2.77
2015,Hale,ALABAMA,1949,12,9,10,32714,,0.267900079,,0.133245811,121,0.044,0.465,0.04,1,9.9,3.45,0.3,2.71
2015,Henry,ALABAMA,1149,11,9,9,41997,,0.156229794,,0.081475586,119,0.211,0.447,0.01,1,9.7,3.14,0.31,2.35
2015,Houston,ALABAMA,1284,12,10,11,41571,0.181211576,0.18288067,0.078068167,0.082604006,122,0.315,0.254,0.01,1,9.5,3.11,0.51,2.34
2015,Jackson,ALABAMA,1944,16,10,11,37745,,0.179957181,,0.101187915,138,0.068,0.591,0.03,2,10.7,2.66,0.37,2.01
2015,Jefferson,ALABAMA,1287,10,8,8,45610,0.176935405,0.187746942,0.077455588,0.091101862,129,0.011,0.573,0.32,1,12.9,3.34,0.67,2.68
2015,Lamar,ALABAMA,1378,16,9,12,35450,,0.241433471,,0.101278432,129,0.017,0.633,0,2,9.7,3.17,0.26,2.49
2015,Lauderdale,ALABAMA,1586,14,10,9,43125,0.173555925,0.179157197,0.059983056,0.070784472,136,0.117,0.344,0.16,1,10.5,2.9,0.5,2.22
