year,county,state,copd_prev,asthma_prev,tobacco_prev,med_income_5y,perc_below_poverty_1y,perc_below_poverty_5y,unemployment_1y,unemployment_5y,num_days_rain,perc_cultivated_land_use,perc_forest_cover,perc_park_proximity,rural_urban,total_pollutants,acetaldehyde,benzene,formaldehyde,apc_percent_diff
2012,Taos,NEW MEXICO,6,4,6,33835.0,,0.238701731,,0.139103189,116.0,0.002,0.475,0.11,2.0,5.3,1.21,0.15,0.74,-0.340965347
2014,Elkhart,INDIANA,11,4,9,46983.0,0.142763793,0.162215739,0.04615524,0.087428778,123.0,0.427,0.046,0.3,1.0,11.2,1.58,0.66,1.12,-0.098576123
2014,Pacific,WASHINGTON,10,3,7,39418.0,,0.170705438,,0.090053111,212.0,0.0,0.677,0.14,2.0,5.2,0.61,0.22,0.48,-0.207612457
2014,Anson,NORTH CAROLINA,13,5,11,33388.0,,0.241473168,,0.194506675,159.0,0.021,0.597,0.02,2.0,9.5,2.89,0.34,2.13,0.314006024
2013,Newport,RHODE ISLAND,11,6,6,71713.0,0.096846566,0.083143175,0.086638309,0.068156712,117.0,0.018,0.257,0.34,1.0,7.5,1.08,0.56,0.96,0.020274689
2012,Atascosa,TEXAS,12,4,7,45702.0,,0.172522679,,0.101383381,75.0,0.111,0.035,0.04,1.0,8.8,2.01,0.3,1.68,0.185817466
2012,Scott,TENNESSEE,29,6,16,29161.0,,0.258295804,,0.153769732,138.0,0.0,0.827,0.07,2.0,9.4,2.19,0.25,1.65,-0.149301144
2014,Cuyahoga,OHIO,11,6,10,44203.0,0.193469346,0.185374558,0.100372784,0.11407432,159.0,0.004,0.187,0.56,1.0,12.9,1.69,0.83,1.29,0.056400507
2012,Winnebago,ILLINOIS,11,5,9,47573.0,0.161049008,0.1703704,0.124110393,0.120113708,109.0,0.51,0.104,0.59,1.0,10.5,1.56,0.59,1.13,0.006794317
2012,Itasca,MINNESOTA,8,3,9,46180.0,,0.124900974,,0.100009225,120.0,0.006,0.613,0.16,2.0,8.3,1.04,0.37,0.85,0.12081679
2012,Jackson,OKLAHOMA,18,5,10,41563.0,,0.185166061,,0.071748883,75.0,0.524,0.019,0.22,2.0,7.7,2.38,0.42,1.75,0.22421823
2013,Hampton,SOUTH CAROLINA,9,3,7,34233.0,,0.252043873,,0.145110056,146.0,0.114,0.353,0.0,2.0,9.2,2.89,0.29,2.06,-0.058853119
2014,Knox,TENNESSEE,12,4,9,47543.0,0.178190738,0.153140977,0.058658231,0.069190249,152.0,0.007,0.35,0.23,1.0,11.4,2.89,0.58,2.33,-0.021915584
2012,Dauphin,PENNSYLVANIA,9,4,6,54066.0,0.133880302,0.127471045,0.073380463,0.073123701,143.0,0.098,0.458,0.41,1.0,11.7,1.89,0.89,1.63,0.0234375
2013,Wilkin,MINNESOTA,8,3,6,50507.0,,0.092148565,,0.041702617,92.0,0.87,0.007,0.23,2.0,8.8,1.0,0.46,0.73,-0.051554828
2014,Lawrence,INDIANA,13,4,10,44553.0,,0.140225753,,0.083106704,134.0,0.131,0.488,0.07,2.0,10.6,2.09,0.71,1.48,0.032467532
2012,Hardin,OHIO,16,4,10,40732.0,,0.180235878,,0.105650783,135.0,0.8,0.069,0.24,2.0,11.2,1.56,0.59,1.03,-0.075980392
2012,Woodruff,ARKANSAS,16,3,14,28061.0,,0.245503098,,0.108757511,103.0,0.719,0.024,0.0,2.0,10.3,2.85,0.27,2.03,0.104387292
2014,Grant,MINNESOTA,13,4,9,49632.0,,0.099219806,,0.050657261,81.0,0.756,0.022,0.16,2.0,8.7,0.95,0.24,0.7,0.931220096
2014,Craighead,ARKANSAS,13,3,8,42085.0,0.246565551,0.21472922,0.047411926,0.082103394,104.0,0.714,0.069,0.21,1.0,10.4,2.79,0.55,2.02,-0.01179941
2012,Clark,ARKANSAS,12,4,8,32393.0,,0.236829072,,0.115254238,111.0,0.014,0.692,0.16,2.0,10.3,3.7,0.48,2.82,-0.080144404
2013,Morgan,KENTUCKY,19,4,17,30658.0,,0.289079577,,0.113693468,169.0,0.008,0.777,0.0,2.0,9.3,2.05,0.3,1.54,-0.156389634
2014,Union,OREGON,8,5,10,43265.0,,0.188052654,,0.082837217,166.0,0.13,0.577,0.41,2.0,6.0,1.05,0.45,0.83,0.224637681
2014,Chattahoochee,GEORGIA,12,3,16,48488.0,,0.090227298,,0.067811035,114.0,0.011,0.716,0.2,1.0,10.6,3.43,0.34,2.61,-0.388888889
2013,Lehigh,PENNSYLVANIA,10,5,8,54923.0,0.147616625,0.137280211,0.090597905,0.100810438,141.0,0.22,0.281,0.57,1.0,11.4,1.98,1.22,1.79,-0.121814792
2012,Houston,GEORGIA,17,6,9,56265.0,0.186405376,0.145531103,0.11743772,0.097019844,128.0,0.134,0.425,0.09,1.0,10.5,3.3,0.52,2.57,0.253717472
2014,Essex,MASSACHUSETTS,10,7,8,68776.0,0.105817489,0.11265789,0.067604959,0.084524706,135.0,0.005,0.336,0.52,1.0,9.4,1.44,0.85,1.34,0.074282499
2013,Champaign,OHIO,17,5,10,49157.0,,0.133901745,,0.114392661,127.0,0.726,0.1,0.15,2.0,11.5,1.66,0.63,1.09,-0.071347032
2012,Alfalfa,OKLAHOMA,13,4,6,41943.0,,0.120473996,,0.05002233,77.0,0.58,0.011,0.13,2.0,8.4,2.19,0.19,1.58,-0.122490993
2014,Limestone,ALABAMA,13,5,11,49461.0,0.133803532,0.140710056,0.082141913,0.083700225,127.0,0.189,0.244,0.11,1.0,11.7,2.82,0.44,2.08,-0.025531915
2014,Johnson,KANSAS,8,4,5,75017.0,0.064990506,0.064969525,0.037569951,0.049739577,76.0,0.186,0.101,0.54,1.0,10.2,2.37,0.7,1.92,0.081562714
