stateFIPS,State,countyFIPS,County,Year,Value,Stability
1,Alabama,1001,Autauga,2012,"22,077",1
1,Alabama,1001,Autauga,2013,"22,220",1
1,Alabama,1001,Autauga,2014,"22,431",1
1,Alabama,1001,Autauga,2015,"22,582",1
1,Alabama,1003,Baldwin,2012,"103,984",1
1,Alabama,1003,Baldwin,2013,"104,648",1
1,Alabama,1003,Baldwin,2014,"105,563",1
1,Alabama,1003,Baldwin,2015,"106,422",1
1,Alabama,1005,Barbour,2012,"11,878",1
1,Alabama,1005,Barbour,2013,"11,790",1
1,Alabama,1005,Barbour,2014,"11,833",1
1,Alabama,1005,Barbour,2015,"11,810",1
1,Alabama,1007,Bibb,2012,"8,958",1
1,Alabama,1007,Bibb,2013,"8,939",1
1,Alabama,1007,Bibb,2014,"8,985",1
1,Alabama,1007,Bibb,2015,"8,971",1
1,Alabama,1009,Blount,2012,"23,761",1
1,Alabama,1009,Blount,2013,"23,767",1
1,Alabama,1009,Blount,2014,"23,868",1
1,Alabama,1009,Blount,2015,"23,860",1
1,Alabama,1011,Bullock,2012,"4,501",1
1,Alabama,1011,Bullock,2013,"4,468",1
1,Alabama,1011,Bullock,2014,"4,469",1
1,Alabama,1011,Bullock,2015,"4,465",1
1,Alabama,1013,Butler,2012,"9,973",1
1,Alabama,1013,Butler,2013,"9,931",1
1,Alabama,1013,Butler,2014,"9,934",1
1,Alabama,1013,Butler,2015,"9,919",1
1,Alabama,1015,Calhoun,2012,"53,293",1
1,Alabama,1015,Calhoun,2013,"53,192",1
1,Alabama,1015,Calhoun,2014,"53,306",1
1,Alabama,1015,Calhoun,2015,"53,296",1
1,Alabama,1017,Chambers,2012,"17,000",1
1,Alabama,1017,Chambers,2013,"16,928",1
1,Alabama,1017,Chambers,2014,"16,944",1
1,Alabama,1017,Chambers,2015,"16,936",1
1,Alabama,1019,Cherokee,2012,"16,168",1
1,Alabama,1019,Cherokee,2013,"16,180",1
1,Alabama,1019,Cherokee,2014,"16,254",1
1,Alabama,1019,Cherokee,2015,"16,242",1
1,Alabama,1021,Chilton,2012,"19,240",1
1,Alabama,1021,Chilton,2013,"19,195",1
1,Alabama,1021,Chilton,2014,"19,246",1
1,Alabama,1021,Chilton,2015,"19,247",1
1,Alabama,1023,Choctaw,2012,"7,301",1
1,Alabama,1023,Choctaw,2013,"7,244",1
1,Alabama,1023,Choctaw,2014,"7,248",1
1,Alabama,1023,Choctaw,2015,"7,232",1
1,Alabama,1025,Clarke,2012,"12,632",1
1,Alabama,1025,Clarke,2013,"12,584",1
1,Alabama,1025,Clarke,2014,"12,604",1
1,Alabama,1025,Clarke,2015,"12,600",1
1,Alabama,1027,Clay,2012,"6,762",1
1,Alabama,1027,Clay,2013,"6,748",1
