state,county,benzene ,formaldehyde,acetaldehyde
NEW YORK,Queens,1.41,2.01,2.37
SOUTH DAKOTA,Brule,0.2,0.79,1.11
ALABAMA,Perry,0.26,2.65,3.5
MINNESOTA,Carver,0.54,1.09,1.37
IDAHO,Lincoln,0.1,0.84,1.14
WEST VIRGINIA,Raleigh,0.4,1.26,1.83
VIRGINIA,Portsmouth,0.55,1.61,2.1
MISSOURI,Dunklin,0.38,1.8,2.55
MINNESOTA,Crow Wing,0.54,1.03,1.13
GEORGIA,Twiggs,0.32,2.45,3.2
UTAH,Grand,0.24,0.86,1.38
MONTANA,Lake,0.15,0.75,1.12
TENNESSEE,Warren,0.36,1.75,2.44
SOUTH DAKOTA,Kingsbury,0.2,0.71,0.99
LOUISIANA,St. Landry,0.5,1.89,2.37
NEW YORK,Hamilton,0.24,0.53,0.98
NORTH DAKOTA,Bowman,0.19,0.62,0.94
PENNSYLVANIA,Washington,0.66,1.17,1.67
NORTH DAKOTA,LaMoure,0.18,0.61,0.84
TENNESSEE,Overton,0.25,1.66,2.23
MISSOURI,Taney,0.4,2.21,2.73
TEXAS,Kendall,0.31,1.75,2.02
GEORGIA,Wayne,0.37,2.16,3.02
KANSAS,Woodson,0.34,1.76,2.34
COLORADO,Eagle,0.15,0.63,0.99
TENNESSEE,Sequatchie,0.3,1.75,2.41
ALASKA,Aleutians West,0.12,0.01,0
PENNSYLVANIA,McKean,0.53,0.72,1.2
TEXAS,Andrews,0.45,1.83,2.34
ILLINOIS,Jackson,0.43,1.7,2.21
OHIO,Montgomery,0.91,1.41,1.96
TEXAS,McMullen,0.22,1.55,1.83
INDIANA,Newton,0.34,1.1,1.61
KANSAS,Montgomery,0.63,2.03,2.57
KANSAS,Greeley,0.13,0.99,1.43
TEXAS,Hardin,0.43,2.07,2.44
VIRGINIA,Dinwiddie,0.39,2.01,2.56
VIRGINIA,Middlesex,0.27,1.55,2.06
MARYLAND,Allegany,0.51,1.1,1.56
ALABAMA,Lawrence,0.33,2.15,2.92
ILLINOIS,Kane,0.61,1.18,1.62
WISCONSIN,Grant,0.38,1.04,1.46
ILLINOIS,Effingham,0.39,1.39,1.97
IOWA,Cass,0.49,1.17,1.57
MINNESOTA,Marshall,0.24,0.64,0.87
TENNESSEE,Weakley,0.38,1.74,2.47
MICHIGAN,Kent,0.79,1.31,1.57
MISSOURI,Callaway,0.37,1.88,2.25
WISCONSIN,Clark,0.28,0.87,1.2
ILLINOIS,Schuyler,0.38,1.33,1.86
MISSOURI,Barton,0.41,1.79,2.4
IDAHO,Oneida,0.09,0.71,1.02
ALABAMA,Covington,0.32,2.35,3.25
MISSISSIPPI,Carroll,0.22,2.32,2.95
MICHIGAN,Mason,0.53,0.81,1.15
INDIANA,Daviess,0.66,1.42,2.06
NEBRASKA,Kimball,0.14,0.68,1.09
MASSACHUSETTS,Norfolk,0.77,1.27,1.44
OHIO,Belmont,0.62,1.2,1.74
MICHIGAN,St. Joseph,0.5,1.08,1.51
NEW JERSEY,Warren,0.76,1.37,1.68
TEXAS,Wilson,0.3,1.58,1.91
