state,county,year,value
Alabama,Autauga,2012,"22,077"
Alabama,Autauga,2013,"22,220"
Alabama,Autauga,2014,"22,431"
Alabama,Autauga,2015,"22,582"
Alabama,Baldwin,2012,"103,984"
Alabama,Baldwin,2013,"104,648"
Alabama,Baldwin,2014,"105,563"
Alabama,Baldwin,2015,"106,422"
Alabama,Barbour,2012,"11,878"
Alabama,Barbour,2013,"11,790"
Alabama,Barbour,2014,"11,833"
Alabama,Barbour,2015,"11,810"
Alabama,Bibb,2012,"8,958"
Alabama,Bibb,2013,"8,939"
Alabama,Bibb,2014,"8,985"
Alabama,Bibb,2015,"8,971"
Alabama,Blount,2012,"23,761"
Alabama,Blount,2013,"23,767"
Alabama,Blount,2014,"23,868"
Alabama,Blount,2015,"23,860"
Alabama,Bullock,2012,"4,501"
Alabama,Bullock,2013,"4,468"
Alabama,Bullock,2014,"4,469"
Alabama,Bullock,2015,"4,465"
Alabama,Butler,2012,"9,973"
Alabama,Butler,2013,"9,931"
Alabama,Butler,2014,"9,934"
Alabama,Butler,2015,"9,919"
Alabama,Calhoun,2012,"53,293"
Alabama,Calhoun,2013,"53,192"
Alabama,Calhoun,2014,"53,306"
Alabama,Calhoun,2015,"53,296"
Alabama,Chambers,2012,"17,000"
Alabama,Chambers,2013,"16,928"
Alabama,Chambers,2014,"16,944"
Alabama,Chambers,2015,"16,936"
Alabama,Cherokee,2012,"16,168"
Alabama,Cherokee,2013,"16,180"
Alabama,Cherokee,2014,"16,254"
Alabama,Cherokee,2015,"16,242"
Alabama,Chilton,2012,"19,240"
Alabama,Chilton,2013,"19,195"
Alabama,Chilton,2014,"19,246"
Alabama,Chilton,2015,"19,247"
Alabama,Choctaw,2012,"7,301"
Alabama,Choctaw,2013,"7,244"
Alabama,Choctaw,2014,"7,248"
Alabama,Choctaw,2015,"7,232"
Alabama,Clarke,2012,"12,632"
Alabama,Clarke,2013,"12,584"
Alabama,Clarke,2014,"12,604"
Alabama,Clarke,2015,"12,600"
Alabama,Clay,2012,"6,762"
Alabama,Clay,2013,"6,748"
Alabama,Clay,2014,"6,756"
Alabama,Clay,2015,"6,738"
