state,county,value
Alabama,Autauga,112
Alabama,Baldwin,141
Alabama,Barbour,122
Alabama,Bibb,129
Alabama,Blount,119
Alabama,Bullock,119
Alabama,Butler,134
Alabama,Calhoun,126
Alabama,Chambers,126
Alabama,Cherokee,133
Alabama,Chilton,123
Alabama,Choctaw,130
Alabama,Clarke,128
Alabama,Clay,132
Alabama,Cleburne,139
Alabama,Coffee,122
Alabama,Colbert,129
Alabama,Conecuh,132
Alabama,Coosa,124
Alabama,Covington,130
Alabama,Crenshaw,139
Alabama,Cullman,132
Alabama,Dale,126
Alabama,Dallas,114
Alabama,DeKalb,140
Alabama,Elmore,114
Alabama,Escambia,135
Alabama,Etowah,118
Alabama,Fayette,133
Alabama,Franklin,123
Alabama,Geneva,120
Alabama,Greene,114
Alabama,Hale,121
Alabama,Henry,119
Alabama,Houston,122
Alabama,Jackson,138
Alabama,Jefferson,129
Alabama,Lamar,129
Alabama,Lauderdale,136
Alabama,Lawrence,139
Alabama,Lee,114
Alabama,Limestone,127
Alabama,Lowndes,112
Alabama,Macon,124
Alabama,Madison,130
Alabama,Marengo,122
Alabama,Marion,134
Alabama,Marshall,135
Alabama,Mobile,138
Alabama,Monroe,136
Alabama,Montgomery,107
Alabama,Morgan,136
Alabama,Perry,123
Alabama,Pickens,128
Alabama,Pike,130
Alabama,Randolph,124
Alabama,Russell,115
Alabama,Shelby,125
Alabama,St. Clair,120
Alabama,Sumter,130
Alabama,Talladega,130
Alabama,Tallapoosa,123
Alabama,Tuscaloosa,115
Alabama,Walker,134
Alabama,Washington,147
Alabama,Wilcox,127
Alabama,Winston,134
Arizona,Apache,97
Arizona,Cochise,79
Arizona,Coconino,89
Arizona,Gila,80
Arizona,Graham,71
Arizona,Greenlee,55
Arizona,La Paz,33
Arizona,Maricopa,40
Arizona,Mohave,52
Arizona,Navajo,84
Arizona,Pima,58
Arizona,Pinal,57
Arizona,Santa Cruz,82
Arizona,Yavapai,69
Arizona,Yuma,21
Arkansas,Arkansas,116
Arkansas,Ashley,108
Arkansas,Baxter,97
Arkansas,Benton,80
Arkansas,Boone,90
Arkansas,Bradley,101
Arkansas,Calhoun,96
Arkansas,Carroll,89
Arkansas,Chicot,109
Arkansas,Clark,111
Arkansas,Clay,102
Arkansas,Cleburne,108
Arkansas,Cleveland,116
Arkansas,Columbia,114
Arkansas,Conway,104
Arkansas,Craighead,104
Arkansas,Crawford,95
Arkansas,Crittenden,108
Arkansas,Cross,106
Arkansas,Dallas,113
Arkansas,Desha,119
Arkansas,Drew,110
Arkansas,Faulkner,105
Arkansas,Franklin,104
Arkansas,Fulton,98
Arkansas,Garland,101
Arkansas,Grant,114
Arkansas,Greene,103
