state,county,year,value
Alabama,Autauga,2012,0.088
Alabama,Autauga,2013,0.093
Alabama,Autauga,2014,0.093
Alabama,Autauga,2015,0.095
Alabama,Baldwin,2012,0.096
Alabama,Baldwin,2013,0.097
Alabama,Baldwin,2014,0.107
Alabama,Baldwin,2015,0.114
Alabama,Barbour,2012,0.124
Alabama,Barbour,2013,0.137
Alabama,Barbour,2014,0.136
Alabama,Barbour,2015,0.130
Alabama,Bibb,2012,0.109
Alabama,Bibb,2013,0.110
Alabama,Bibb,2014,0.108
Alabama,Bibb,2015,0.115
Alabama,Blount,2012,0.105
Alabama,Blount,2013,0.101
Alabama,Blount,2014,0.097
Alabama,Blount,2015,0.098
Alabama,Bullock,2012,0.110
Alabama,Bullock,2013,0.131
Alabama,Bullock,2014,0.137
Alabama,Bullock,2015,0.118
Alabama,Butler,2012,0.126
Alabama,Butler,2013,0.121
Alabama,Butler,2014,0.116
Alabama,Butler,2015,0.119
Alabama,Calhoun,2012,0.105
Alabama,Calhoun,2013,0.110
Alabama,Calhoun,2014,0.110
Alabama,Calhoun,2015,0.112
Alabama,Chambers,2012,0.130
Alabama,Chambers,2013,0.127
Alabama,Chambers,2014,0.132
Alabama,Chambers,2015,0.140
Alabama,Cherokee,2012,0.112
Alabama,Cherokee,2013,0.114
Alabama,Cherokee,2014,0.109
Alabama,Cherokee,2015,0.107
Alabama,Chilton,2012,0.105
Alabama,Chilton,2013,0.099
Alabama,Chilton,2014,0.108
Alabama,Chilton,2015,0.115
Alabama,Choctaw,2012,0.158
Alabama,Choctaw,2013,0.161
Alabama,Choctaw,2014,0.161
Alabama,Choctaw,2015,0.169
Alabama,Clarke,2012,0.109
Alabama,Clarke,2013,0.122
Alabama,Clarke,2014,0.119
Alabama,Clarke,2015,0.120
Alabama,Clay,2012,0.128
Alabama,Clay,2013,0.134
Alabama,Clay,2014,0.132
Alabama,Clay,2015,0.136
Alabama,Cleburne,2012,0.114
Alabama,Cleburne,2013,0.122
Alabama,Cleburne,2014,0.128
Alabama,Cleburne,2015,0.123
Alabama,Coffee,2012,0.101
Alabama,Coffee,2013,0.106
Alabama,Coffee,2014,0.111
Alabama,Coffee,2015,0.113
Alabama,Colbert,2012,0.125
Alabama,Colbert,2013,0.131
Alabama,Colbert,2014,0.120
Alabama,Colbert,2015,0.116
Alabama,Conecuh,2012,0.123
Alabama,Conecuh,2013,0.120
Alabama,Conecuh,2014,0.134
Alabama,Conecuh,2015,0.132
Alabama,Coosa,2012,0.149
Alabama,Coosa,2013,0.152
Alabama,Coosa,2014,0.161
Alabama,Coosa,2015,0.167
Alabama,Covington,2012,0.133
Alabama,Covington,2013,0.133
Alabama,Covington,2014,0.138
Alabama,Covington,2015,0.133
Alabama,Crenshaw,2012,0.124
Alabama,Crenshaw,2013,0.133
Alabama,Crenshaw,2014,0.140
Alabama,Crenshaw,2015,0.157
Alabama,Cullman,2012,0.105
Alabama,Cullman,2013,0.111
Alabama,Cullman,2014,0.121
Alabama,Cullman,2015,0.119
Alabama,Dale,2012,0.106
Alabama,Dale,2013,0.105
Alabama,Dale,2014,0.105
Alabama,Dale,2015,0.107
Alabama,Dallas,2012,0.150
Alabama,Dallas,2013,0.150
Alabama,Dallas,2014,0.141
Alabama,Dallas,2015,0.126
Alabama,DeKalb,2012,0.105
Alabama,DeKalb,2013,0.106
Alabama,DeKalb,2014,0.106
Alabama,DeKalb,2015,0.108
Alabama,Elmore,2012,0.080
Alabama,Elmore,2013,0.081
Alabama,Elmore,2014,0.090
Alabama,Elmore,2015,0.092
Alabama,Escambia,2012,0.112
Alabama,Escambia,2013,0.118
Alabama,Escambia,2014,0.122
Alabama,Escambia,2015,0.142
Alabama,Etowah,2012,0.117
Alabama,Etowah,2013,0.122
Alabama,Etowah,2014,0.126
Alabama,Etowah,2015,0.126
Alabama,Fayette,2012,0.121
Alabama,Fayette,2013,0.115
Alabama,Fayette,2014,0.115
Alabama,Fayette,2015,0.105
Alabama,Franklin,2012,0.125
Alabama,Franklin,2013,0.117
Alabama,Franklin,2014,0.132
Alabama,Franklin,2015,0.126
Alabama,Geneva,2012,0.115
Alabama,Geneva,2013,0.114
Alabama,Geneva,2014,0.107
Alabama,Geneva,2015,0.117
Alabama,Greene,2012,0.170
Alabama,Greene,2013,0.165
Alabama,Greene,2014,0.152
Alabama,Greene,2015,0.169
Alabama,Hale,2012,0.120
Alabama,Hale,2013,0.127
Alabama,Hale,2014,0.124
Alabama,Hale,2015,0.116
Alabama,Henry,2012,0.134
Alabama,Henry,2013,0.134
Alabama,Henry,2014,0.123
Alabama,Henry,2015,0.135
Alabama,Houston,2012,0.105
Alabama,Houston,2013,0.107
Alabama,Houston,2014,0.111
Alabama,Houston,2015,0.113
Alabama,Jackson,2012,0.129
Alabama,Jackson,2013,0.131
Alabama,Jackson,2014,0.136
Alabama,Jackson,2015,0.144
Alabama,Jefferson,2012,0.100
Alabama,Jefferson,2013,0.100
Alabama,Jefferson,2014,0.101
Alabama,Jefferson,2015,0.102
Alabama,Lamar,2012,0.142
Alabama,Lamar,2013,0.143
Alabama,Lamar,2014,0.130
Alabama,Lamar,2015,0.122
Alabama,Lauderdale,2012,0.118
Alabama,Lauderdale,2013,0.122
Alabama,Lauderdale,2014,0.125
Alabama,Lauderdale,2015,0.133
Alabama,Lawrence,2012,0.106
Alabama,Lawrence,2013,0.113
Alabama,Lawrence,2014,0.111
Alabama,Lawrence,2015,0.109
Alabama,Lee,2012,0.059
Alabama,Lee,2013,0.057
Alabama,Lee,2014,0.064
Alabama,Lee,2015,0.063
Alabama,Limestone,2012,0.097
Alabama,Limestone,2013,0.100
Alabama,Limestone,2014,0.097
Alabama,Limestone,2015,0.101
Alabama,Lowndes,2012,0.148
Alabama,Lowndes,2013,0.169
Alabama,Lowndes,2014,0.155
Alabama,Lowndes,2015,0.149
Alabama,Macon,2012,0.114
Alabama,Macon,2013,0.110
Alabama,Macon,2014,0.127
Alabama,Macon,2015,0.143
Alabama,Madison,2012,0.086
Alabama,Madison,2013,0.085
Alabama,Madison,2014,0.087
Alabama,Madison,2015,0.090
Alabama,Marengo,2012,0.138
Alabama,Marengo,2013,0.142
Alabama,Marengo,2014,0.139
Alabama,Marengo,2015,0.145
Alabama,Marion,2012,0.130
Alabama,Marion,2013,0.129
Alabama,Marion,2014,0.122
Alabama,Marion,2015,0.119
Alabama,Marshall,2012,0.123
Alabama,Marshall,2013,0.127
Alabama,Marshall,2014,0.121
Alabama,Marshall,2015,0.122
Alabama,Mobile,2012,0.095
Alabama,Mobile,2013,0.097
Alabama,Mobile,2014,0.098
Alabama,Mobile,2015,0.101
Alabama,Monroe,2012,0.134
Alabama,Monroe,2013,0.141
Alabama,Monroe,2014,0.133
Alabama,Monroe,2015,0.143
Alabama,Montgomery,2012,0.099
Alabama,Montgomery,2013,0.098
Alabama,Montgomery,2014,0.098
Alabama,Montgomery,2015,0.102
Alabama,Morgan,2012,0.102
Alabama,Morgan,2013,0.104
Alabama,Morgan,2014,0.109
Alabama,Morgan,2015,0.114
Alabama,Perry,2012,0.078
Alabama,Perry,2013,0.111
Alabama,Perry,2014,0.130
Alabama,Perry,2015,0.162
Alabama,Pickens,2012,0.134
Alabama,Pickens,2013,0.149
Alabama,Pickens,2014,0.142
Alabama,Pickens,2015,0.149
Alabama,Pike,2012,0.108
Alabama,Pike,2013,0.100
Alabama,Pike,2014,0.095
Alabama,Pike,2015,0.102
Alabama,Randolph,2012,0.128
Alabama,Randolph,2013,0.127
Alabama,Randolph,2014,0.123
Alabama,Randolph,2015,0.140
Alabama,Russell,2012,0.107
Alabama,Russell,2013,0.106
Alabama,Russell,2014,0.098
Alabama,Russell,2015,0.101
Alabama,Shelby,2012,0.068
Alabama,Shelby,2013,0.074
Alabama,Shelby,2014,0.074
Alabama,Shelby,2015,0.079
Alabama,St. Clair,2012,0.085
Alabama,St. Clair,2013,0.087
Alabama,St. Clair,2014,0.092
Alabama,St. Clair,2015,0.096
Alabama,Sumter,2012,0.119
Alabama,Sumter,2013,0.108
Alabama,Sumter,2014,0.108
Alabama,Sumter,2015,0.114
Alabama,Talladega,2012,0.112
Alabama,Talladega,2013,0.109
Alabama,Talladega,2014,0.109
Alabama,Talladega,2015,0.117
Alabama,Tallapoosa,2012,0.112
Alabama,Tallapoosa,2013,0.106
Alabama,Tallapoosa,2014,0.115
Alabama,Tallapoosa,2015,0.121
Alabama,Tuscaloosa,2012,0.081
Alabama,Tuscaloosa,2013,0.084
Alabama,Tuscaloosa,2014,0.088
Alabama,Tuscaloosa,2015,0.087
Alabama,Walker,2012,0.113
Alabama,Walker,2013,0.113
Alabama,Walker,2014,0.116
Alabama,Walker,2015,0.122
Alabama,Washington,2012,0.132
Alabama,Washington,2013,0.124
Alabama,Washington,2014,0.123
Alabama,Washington,2015,0.112
Alabama,Wilcox,2012,0.120
Alabama,Wilcox,2013,0.115
Alabama,Wilcox,2014,0.114
Alabama,Wilcox,2015,0.116
Alabama,Winston,2012,0.122
Alabama,Winston,2013,0.125
Alabama,Winston,2014,0.133
Alabama,Winston,2015,0.146
Alaska,Aleutians East,2012,0.081
Alaska,Aleutians East,2013,0.067
Alaska,Aleutians East,2014,0.068
Alaska,Aleutians East,2015,0.048
Alaska,Aleutians West,2012,0.028
Alaska,Aleutians West,2013,0.032
Alaska,Aleutians West,2014,0.040
Alaska,Aleutians West,2015,0.042
Alaska,Anchorage,2012,0.055
Alaska,Anchorage,2013,0.056
Alaska,Anchorage,2014,0.054
Alaska,Anchorage,2015,0.059
Alaska,Bethel,2012,0.042
Alaska,Bethel,2013,0.039
Alaska,Bethel,2014,0.041
Alaska,Bethel,2015,0.037
Alaska,Bristol Bay,2012,0.080
Alaska,Bristol Bay,2013,0.065
Alaska,Bristol Bay,2014,0.060
Alaska,Bristol Bay,2015,0.056
Alaska,Denali,2012,0.021
Alaska,Denali,2013,0.024
Alaska,Denali,2014,0.025
Alaska,Denali,2015,0.044
Alaska,Dillingham,2012,0.046
Alaska,Dillingham,2013,0.053
Alaska,Dillingham,2014,0.047
Alaska,Dillingham,2015,0.047
Alaska,Fairbanks North Star,2012,0.045
Alaska,Fairbanks North Star,2013,0.053
Alaska,Fairbanks North Star,2014,0.058
Alaska,Fairbanks North Star,2015,0.056
Alaska,Haines,2012,0.068
Alaska,Haines,2013,0.087
Alaska,Haines,2014,0.087
Alaska,Haines,2015,0.108
Alaska,HOONAH-ANGOON CENSUS AREA,2012,0.093
Alaska,HOONAH-ANGOON CENSUS AREA,2013,0.090
Alaska,HOONAH-ANGOON CENSUS AREA,2014,0.094
Alaska,HOONAH-ANGOON CENSUS AREA,2015,0.076
Alaska,Juneau,2012,0.057
Alaska,Juneau,2013,0.056
Alaska,Juneau,2014,0.060
Alaska,Juneau,2015,0.058
Alaska,Kenai Peninsula,2012,0.069
Alaska,Kenai Peninsula,2013,0.071
Alaska,Kenai Peninsula,2014,0.085
Alaska,Kenai Peninsula,2015,0.091
Alaska,Ketchikan Gateway,2012,0.074
Alaska,Ketchikan Gateway,2013,0.086
Alaska,Ketchikan Gateway,2014,0.090
Alaska,Ketchikan Gateway,2015,0.088
Alaska,Kodiak Island,2012,0.029
Alaska,Kodiak Island,2013,0.045
Alaska,Kodiak Island,2014,0.052
Alaska,Kodiak Island,2015,0.052
Alaska,Lake and Peninsula,2012,0.060
Alaska,Lake and Peninsula,2013,0.051
Alaska,Lake and Peninsula,2014,0.049
Alaska,Lake and Peninsula,2015,0.061
Alaska,Matanuska-Susitna,2012,0.051
Alaska,Matanuska-Susitna,2013,0.054
Alaska,Matanuska-Susitna,2014,0.055
Alaska,Matanuska-Susitna,2015,0.054
Alaska,Nome,2012,0.035
Alaska,Nome,2013,0.039
Alaska,Nome,2014,0.038
Alaska,Nome,2015,0.046
Alaska,North Slope,2012,0.033
Alaska,North Slope,2013,0.025
Alaska,North Slope,2014,0.020
Alaska,North Slope,2015,0.033
Alaska,Northwest Arctic,2012,0.036
Alaska,Northwest Arctic,2013,0.032
Alaska,Northwest Arctic,2014,0.036
Alaska,Northwest Arctic,2015,0.036
Alaska,PETERSBURG CENSUS AREA,2012,0.068
Alaska,PETERSBURG CENSUS AREA,2013,0.078
Alaska,PETERSBURG CENSUS AREA,2014,0.083
Alaska,PETERSBURG CENSUS AREA,2015,0.073
Alaska,PRINCE OF WALES-HYDER CENSUS AREA,2012,0.086
Alaska,PRINCE OF WALES-HYDER CENSUS AREA,2013,0.086
