state,county,value
Alabama,Autauga,0.0770
Alabama,Baldwin,0.1030
Alabama,Barbour,0.0720
Alabama,Bibb,0.0090
Alabama,Blount,0.0560
Alabama,Bullock,0.0530
Alabama,Butler,0.0240
Alabama,Calhoun,0.0340
Alabama,Chambers,0.0010
Alabama,Cherokee,0.0980
Alabama,Chilton,0.0280
Alabama,Choctaw,0.0140
Alabama,Clarke,0.0050
Alabama,Clay,0.0000
Alabama,Cleburne,0.0000
Alabama,Coffee,0.1420
Alabama,Colbert,0.1050
Alabama,Conecuh,0.0340
Alabama,Coosa,0.0010
Alabama,Covington,0.0340
Alabama,Crenshaw,0.0510
Alabama,Cullman,0.0580
Alabama,Dale,0.1340
Alabama,Dallas,0.0710
Alabama,DeKalb,0.0730
Alabama,Elmore,0.0700
Alabama,Escambia,0.1150
Alabama,Etowah,0.0450
Alabama,Fayette,0.0450
Alabama,Franklin,0.0200
Alabama,Geneva,0.2320
Alabama,Greene,0.0370
Alabama,Hale,0.0440
Alabama,Henry,0.2110
Alabama,Houston,0.3150
Alabama,Jackson,0.0680
Alabama,Jefferson,0.0110
Alabama,Lamar,0.0170
Alabama,Lauderdale,0.1170
Alabama,Lawrence,0.1030
Alabama,Lee,0.0370
Alabama,Limestone,0.1890
Alabama,Lowndes,0.1210
Alabama,Macon,0.0580
Alabama,Madison,0.2070
Alabama,Marengo,0.0140
Alabama,Marion,0.0210
Alabama,Marshall,0.0570
Alabama,Mobile,0.0250
Alabama,Monroe,0.0730
Alabama,Montgomery,0.1060
Alabama,Morgan,0.0680
Alabama,Perry,0.0550
Alabama,Pickens,0.0440
Alabama,Pike,0.0760
Alabama,Randolph,0.0000
Alabama,Russell,0.0590
Alabama,Shelby,0.0310
Alabama,St. Clair,0.0280
Alabama,Sumter,0.0190
Alabama,Talladega,0.0550
Alabama,Tallapoosa,0.0030
Alabama,Tuscaloosa,0.0220
Alabama,Walker,0.0080
Alabama,Washington,0.0140
Alabama,Wilcox,0.0170
Alabama,Winston,0.0120
Arizona,Apache,0.0010
Arizona,Cochise,0.0320
Arizona,Coconino,0.0000
Arizona,Gila,0.0000
Arizona,Graham,0.0170
Arizona,Greenlee,0.0010
Arizona,La Paz,0.0040
Arizona,Maricopa,0.0610
Arizona,Mohave,0.0010
Arizona,Navajo,0.0010
Arizona,Pima,0.0050
Arizona,Pinal,0.0990
Arizona,Santa Cruz,0.0030
Arizona,Yavapai,0.0000
Arizona,Yuma,0.0500
Arkansas,Arkansas,0.5320
Arkansas,Ashley,0.1970
Arkansas,Baxter,0.0000
Arkansas,Benton,0.0010
Arkansas,Boone,0.0010
Arkansas,Bradley,0.0020
Arkansas,Calhoun,0.0010
Arkansas,Carroll,0.0000
Arkansas,Chicot,0.6480
Arkansas,Clark,0.0140
Arkansas,Clay,0.6570
Arkansas,Cleburne,0.0020
Arkansas,Cleveland,0.0010
Arkansas,Columbia,0.0010
Arkansas,Conway,0.0530
Arkansas,Craighead,0.7140
Arkansas,Crawford,0.0340
Arkansas,Crittenden,0.7660
Arkansas,Cross,0.7440
Arkansas,Dallas,0.0010
Arkansas,Desha,0.5620
Arkansas,Drew,0.1360
Arkansas,Faulkner,0.0470
Arkansas,Franklin,0.0040
Arkansas,Fulton,0.0010
Arkansas,Garland,0.0010
Arkansas,Grant,0.0020
Arkansas,Greene,0.5870
Arkansas,Hempstead,0.0090
Arkansas,Hot Spring,0.0090
Arkansas,Howard,0.0000
Arkansas,Independence,0.1360
Arkansas,Izard,0.0010
Arkansas,Jackson,0.7190
Arkansas,Jefferson,0.4760
Arkansas,Johnson,0.0080
Arkansas,Lafayette,0.1320
Arkansas,Lawrence,0.5040
Arkansas,Lee,0.7140
Arkansas,Lincoln,0.4420
Arkansas,Little River,0.0430
Arkansas,Logan,0.0150
Arkansas,Lonoke,0.5320
Arkansas,Madison,0.0000
Arkansas,Marion,0.0010
Arkansas,Miller,0.1850
Arkansas,Mississippi,0.8330
Arkansas,Monroe,0.5450
Arkansas,Montgomery,0.0000
Arkansas,Nevada,0.0020
Arkansas,Newton,0.0000
Arkansas,Ouachita,0.0020
Arkansas,Perry,0.0170
Arkansas,Phillips,0.7090
Arkansas,Pike,0.0000
Arkansas,Poinsett,0.7610
Arkansas,Polk,0.0000
Arkansas,Pope,0.0140
Arkansas,Prairie,0.5720
Arkansas,Pulaski,0.1410
Arkansas,Randolph,0.1900
Arkansas,Saline,0.0030
Arkansas,Scott,0.0000
Arkansas,Searcy,0.0010
Arkansas,Sebastian,0.0100
Arkansas,Sevier,0.0010
Arkansas,Sharp,0.0000
Arkansas,St. Francis,0.6810
Arkansas,Stone,0.0000
Arkansas,Union,0.0010
Arkansas,Van Buren,0.0010
Arkansas,Washington,0.0010
Arkansas,White,0.2050
Arkansas,Woodruff,0.7190
Arkansas,Yell,0.0160
California,Alameda,0.0120
California,Alpine,0.0000
California,Amador,0.0090
California,Butte,0.2330
California,Calaveras,0.0010
California,Colusa,0.4230
California,Contra Costa,0.0820
California,Del Norte,0.0030
California,El Dorado,0.0000
California,Fresno,0.3180
California,Glenn,0.2750
California,Humboldt,0.0000
California,Imperial,0.0890
