state,county,value
Alabama,Autauga,0.5070
Alabama,Baldwin,0.3560
Alabama,Barbour,0.5660
Alabama,Bibb,0.7460
Alabama,Blount,0.5050
Alabama,Bullock,0.5460
Alabama,Butler,0.6310
Alabama,Calhoun,0.6040
Alabama,Chambers,0.6130
Alabama,Cherokee,0.5110
Alabama,Chilton,0.6000
Alabama,Choctaw,0.6930
Alabama,Clarke,0.6880
Alabama,Clay,0.7680
Alabama,Cleburne,0.7470
Alabama,Coffee,0.5130
Alabama,Colbert,0.4490
Alabama,Conecuh,0.6710
Alabama,Coosa,0.7690
Alabama,Covington,0.5870
Alabama,Crenshaw,0.5780
Alabama,Cullman,0.3970
Alabama,Dale,0.5000
Alabama,Dallas,0.4200
Alabama,DeKalb,0.4580
Alabama,Elmore,0.5380
Alabama,Escambia,0.5390
Alabama,Etowah,0.4930
Alabama,Fayette,0.7020
Alabama,Franklin,0.5400
Alabama,Geneva,0.3200
Alabama,Greene,0.4670
Alabama,Hale,0.4650
Alabama,Henry,0.4470
Alabama,Houston,0.2540
Alabama,Jackson,0.5910
Alabama,Jefferson,0.5730
Alabama,Lamar,0.6330
Alabama,Lauderdale,0.3440
Alabama,Lawrence,0.3950
Alabama,Lee,0.5800
Alabama,Limestone,0.2440
Alabama,Lowndes,0.4020
Alabama,Macon,0.5190
Alabama,Madison,0.2930
Alabama,Marengo,0.5150
Alabama,Marion,0.6280
Alabama,Marshall,0.4080
Alabama,Mobile,0.3600
Alabama,Monroe,0.6160
Alabama,Montgomery,0.3040
Alabama,Morgan,0.3610
Alabama,Perry,0.5670
Alabama,Pickens,0.6030
Alabama,Pike,0.5320
Alabama,Randolph,0.6220
Alabama,Russell,0.5180
Alabama,Shelby,0.6060
Alabama,St. Clair,0.6030
Alabama,Sumter,0.4990
Alabama,Talladega,0.5680
Alabama,Tallapoosa,0.6690
Alabama,Tuscaloosa,0.6480
Alabama,Walker,0.6440
Alabama,Washington,0.6230
Alabama,Wilcox,0.6050
Alabama,Winston,0.6710
Arizona,Apache,0.2820
Arizona,Cochise,0.0870
Arizona,Coconino,0.2630
Arizona,Gila,0.3850
Arizona,Graham,0.1690
Arizona,Greenlee,0.4450
Arizona,La Paz,0.0020
Arizona,Maricopa,0.0050
Arizona,Mohave,0.0910
Arizona,Navajo,0.2020
Arizona,Pima,0.0230
Arizona,Pinal,0.0100
Arizona,Santa Cruz,0.1220
Arizona,Yavapai,0.1960
Arizona,Yuma,0.0000
Arkansas,Arkansas,0.0680
Arkansas,Ashley,0.3830
Arkansas,Baxter,0.7100
Arkansas,Benton,0.4070
Arkansas,Boone,0.5100
Arkansas,Bradley,0.5250
Arkansas,Calhoun,0.5660
Arkansas,Carroll,0.5510
Arkansas,Chicot,0.0190
Arkansas,Clark,0.6920
Arkansas,Clay,0.1050
Arkansas,Cleburne,0.6670
Arkansas,Cleveland,0.5410
Arkansas,Columbia,0.7110
Arkansas,Conway,0.5100
Arkansas,Craighead,0.0690
Arkansas,Crawford,0.5770
Arkansas,Crittenden,0.0060
Arkansas,Cross,0.1060
Arkansas,Dallas,0.6570
Arkansas,Desha,0.0100
Arkansas,Drew,0.4160
Arkansas,Faulkner,0.3970
Arkansas,Franklin,0.5370
Arkansas,Fulton,0.6120
Arkansas,Garland,0.7460
Arkansas,Grant,0.5340
Arkansas,Greene,0.2030
Arkansas,Hempstead,0.5240
Arkansas,Hot Spring,0.6910
Arkansas,Howard,0.6500
Arkansas,Independence,0.5070
Arkansas,Izard,0.6900
Arkansas,Jackson,0.0740
Arkansas,Jefferson,0.2100
Arkansas,Johnson,0.6850
Arkansas,Lafayette,0.5090
Arkansas,Lawrence,0.2510
Arkansas,Lee,0.0490
Arkansas,Lincoln,0.2480
Arkansas,Little River,0.5180
Arkansas,Logan,0.5970
Arkansas,Lonoke,0.1200
Arkansas,Madison,0.6630
Arkansas,Marion,0.6790
Arkansas,Miller,0.3280
Arkansas,Mississippi,0.0010
Arkansas,Monroe,0.0290
Arkansas,Montgomery,0.8230
Arkansas,Nevada,0.6270
Arkansas,Newton,0.8560
Arkansas,Ouachita,0.5790
Arkansas,Perry,0.7670
Arkansas,Phillips,0.0390
Arkansas,Pike,0.7480
Arkansas,Poinsett,0.0390
Arkansas,Polk,0.7600
Arkansas,Pope,0.6740
Arkansas,Prairie,0.1180
Arkansas,Pulaski,0.4150
Arkansas,Randolph,0.4870
Arkansas,Saline,0.7160
Arkansas,Scott,0.8120
Arkansas,Searcy,0.7150
Arkansas,Sebastian,0.4600
Arkansas,Sevier,0.6030
Arkansas,Sharp,0.7160
Arkansas,St. Francis,0.0930
Arkansas,Stone,0.7970
Arkansas,Union,0.5980
Arkansas,Van Buren,0.7570
Arkansas,Washington,0.4880
Arkansas,White,0.3470
Arkansas,Woodruff,0.0240
Arkansas,Yell,0.6770
California,Alameda,0.1730
California,Alpine,0.3990
California,Amador,0.4540
California,Butte,0.4220
California,Calaveras,0.4660
California,Colusa,0.0500
California,Contra Costa,0.1450
California,Del Norte,0.7970
California,El Dorado,0.6260
California,Fresno,0.2140
California,Glenn,0.1340
California,Humboldt,0.7560
California,Imperial,0.0000
California,Inyo,0.0480
California,Kern,0.0630
California,Kings,0.0030
California,Lake,0.3080
California,Lassen,0.2940
California,Los Angeles,0.0710
California,Madera,0.3100
California,Marin,0.2990
California,Mariposa,0.4350
California,Mendocino,0.6140
California,Merced,0.0150
California,Modoc,0.2650
California,Mono,0.2210
California,Monterey,0.2240
California,Napa,0.2620
California,Nevada,0.6750
California,Orange,0.0170
California,Placer,0.5610
California,Plumas,0.7040
California,Riverside,0.0220
California,Sacramento,0.0040
California,San Benito,0.1180
California,San Bernardino,0.0210
California,San Diego,0.0490
California,San Francisco,0.0290
California,San Joaquin,0.0070
California,San Luis Obispo,0.1370
California,San Mateo,0.4500
California,Santa Barbara,0.2230
California,Santa Clara,0.3130
California,Santa Cruz,0.6240
California,Shasta,0.5790
California,Sierra,0.6130
California,Siskiyou,0.6170
California,Solano,0.0330
California,Sonoma,0.3940
California,Stanislaus,0.0480
California,Sutter,0.0050
California,Tehama,0.2510
California,Trinity,0.7050
California,Tulare,0.2900
