state,county,year,value
Alabama,Autauga,2012,0.0970
Alabama,Autauga,2013,0.0970
Alabama,Autauga,2014,0.0950
Alabama,Autauga,2015,0.0970
Alabama,Baldwin,2012,0.3000
Alabama,Baldwin,2013,0.3000
Alabama,Baldwin,2014,0.3080
Alabama,Baldwin,2015,0.3040
Alabama,Barbour,2012,0.2070
Alabama,Barbour,2013,0.2200
Alabama,Barbour,2014,0.2270
Alabama,Barbour,2015,0.2190
Alabama,Bibb,2012,0.1750
Alabama,Bibb,2013,0.2070
Alabama,Bibb,2014,0.2120
Alabama,Bibb,2015,0.2170
Alabama,Blount,2012,0.1150
Alabama,Blount,2013,0.1120
Alabama,Blount,2014,0.1230
Alabama,Blount,2015,0.1280
Alabama,Bullock,2012,0.1690
Alabama,Bullock,2013,0.1630
Alabama,Bullock,2014,0.1620
Alabama,Bullock,2015,0.1750
Alabama,Butler,2012,0.1830
Alabama,Butler,2013,0.1710
Alabama,Butler,2014,0.1690
Alabama,Butler,2015,0.1880
Alabama,Calhoun,2012,0.1410
Alabama,Calhoun,2013,0.1500
Alabama,Calhoun,2014,0.1490
Alabama,Calhoun,2015,0.1530
Alabama,Chambers,2012,0.1980
Alabama,Chambers,2013,0.1890
Alabama,Chambers,2014,0.1800
Alabama,Chambers,2015,0.1860
Alabama,Cherokee,2012,0.2730
Alabama,Cherokee,2013,0.2800
Alabama,Cherokee,2014,0.2790
Alabama,Cherokee,2015,0.3060
Alabama,Chilton,2012,0.1530
Alabama,Chilton,2013,0.1540
Alabama,Chilton,2014,0.1540
Alabama,Chilton,2015,0.1560
Alabama,Choctaw,2012,0.2740
Alabama,Choctaw,2013,0.2380
Alabama,Choctaw,2014,0.2380
Alabama,Choctaw,2015,0.2290
Alabama,Clarke,2012,0.2620
Alabama,Clarke,2013,0.2350
Alabama,Clarke,2014,0.2230
Alabama,Clarke,2015,0.2360
Alabama,Clay,2012,0.1520
Alabama,Clay,2013,0.1630
Alabama,Clay,2014,0.1750
Alabama,Clay,2015,0.1960
Alabama,Cleburne,2012,0.1770
Alabama,Cleburne,2013,0.1620
Alabama,Cleburne,2014,0.1580
Alabama,Cleburne,2015,0.1370
Alabama,Coffee,2012,0.1510
Alabama,Coffee,2013,0.1630
