state,county,value
Alabama,Autauga,0.2
Alabama,Baldwin,0.05
Alabama,Barbour,0.04
Alabama,Bibb,0
Alabama,Blount,0.01
Alabama,Bullock,0.01
Alabama,Butler,0.1
Alabama,Calhoun,0.17
Alabama,Chambers,0.02
Alabama,Cherokee,0.03
Alabama,Chilton,0.01
Alabama,Choctaw,0.05
Alabama,Clarke,0.01
Alabama,Clay,0.04
Alabama,Cleburne,0.01
Alabama,Coffee,0
Alabama,Colbert,0.02
Alabama,Conecuh,0.02
Alabama,Coosa,0.02
Alabama,Covington,0.11
Alabama,Crenshaw,0
Alabama,Cullman,0
Alabama,Dale,0.02
Alabama,Dallas,0.05
Alabama,DeKalb,0.03
Alabama,Elmore,0.03
Alabama,Escambia,0.01
Alabama,Etowah,0.05
Alabama,Fayette,0.01
Alabama,Franklin,0
Alabama,Geneva,0.04
Alabama,Greene,0.01
Alabama,Hale,0.04
Alabama,Henry,0.01
Alabama,Houston,0.01
Alabama,Jackson,0.03
Alabama,Jefferson,0.32
Alabama,Lamar,0
Alabama,Lauderdale,0.16
Alabama,Lawrence,0.02
Alabama,Lee,0.16
Alabama,Limestone,0.11
Alabama,Lowndes,0.01
Alabama,Macon,0.09
Alabama,Madison,0.25
Alabama,Marengo,0.02
Alabama,Marion,0.02
Alabama,Marshall,0.03
Alabama,Mobile,0.28
Alabama,Monroe,0.01
Alabama,Montgomery,0.33
Alabama,Morgan,0.13
Alabama,Perry,0
Alabama,Pickens,0.08
Alabama,Pike,0.15
Alabama,Randolph,0
Alabama,Russell,0.04
Alabama,Shelby,0.07
Alabama,St. Clair,0
Alabama,Sumter,0.17
Alabama,Talladega,0.18
Alabama,Tallapoosa,0.03
Alabama,Tuscaloosa,0.17
Alabama,Walker,0
Alabama,Washington,0.03
Alabama,Wilcox,0.01
Alabama,Winston,0.01
Alaska,Aleutians East,0
Alaska,Aleutians West,0
Alaska,Anchorage,0.79
Alaska,Bethel,0
Alaska,Bristol Bay,0.01
Alaska,Denali,0.16
Alaska,Dillingham,0.05
Alaska,Fairbanks North Star,0.3
Alaska,Haines,0
Alaska,HOONAH-ANGOON CENSUS AREA,0.06
Alaska,Juneau,0.4
Alaska,Kenai Peninsula,0.24
Alaska,Ketchikan Gateway,0
Alaska,Kodiak Island,0.07
Alaska,Lake and Peninsula,0.11
Alaska,Matanuska-Susitna,0.07
Alaska,Nome,0
Alaska,North Slope,0.03
Alaska,Northwest Arctic,0
Alaska,PETERSBURG CENSUS AREA,0
Alaska,PRINCE OF WALES-HYDER CENSUS AREA,0
Alaska,Sitka,0.12
Alaska,SKAGWAY MUNICIPALITY,0
Alaska,Southeast Fairbanks,0
Alaska,Valdez-Cordova,0.06
Alaska,Wade Hampton,0
Alaska,WRANGELL CITY AND BURROUGH,0
Alaska,Yakutat,0
Alaska,Yukon-Koyukuk,0
Arizona,Apache,0.04
Arizona,Cochise,0.07
Arizona,Coconino,0.32
Arizona,Gila,0.03
Arizona,Graham,0.05
Arizona,Greenlee,0
Arizona,La Paz,0.05
Arizona,Maricopa,0.45
Arizona,Mohave,0.12
Arizona,Navajo,0.08
Arizona,Pima,0.44
Arizona,Pinal,0.19
Arizona,Santa Cruz,0.14
Arizona,Yavapai,0.3
Arizona,Yuma,0.21
Arkansas,Arkansas,0.19
Arkansas,Ashley,0.07
Arkansas,Baxter,0.04
Arkansas,Benton,0.23
Arkansas,Boone,0.01
Arkansas,Bradley,0.14
Arkansas,Calhoun,0.1
Arkansas,Carroll,0
Arkansas,Chicot,0
Arkansas,Clark,0.16
Arkansas,Clay,0.21
Arkansas,Cleburne,0.07
Arkansas,Cleveland,0
Arkansas,Columbia,0.17
Arkansas,Conway,0.11
Arkansas,Craighead,0.21
Arkansas,Crawford,0.07
Arkansas,Crittenden,0.27
Arkansas,Cross,0.01
Arkansas,Dallas,0
Arkansas,Desha,0.04
Arkansas,Drew,0.06
Arkansas,Faulkner,0.1
Arkansas,Franklin,0.11
Arkansas,Fulton,0.06
Arkansas,Garland,0.13
Arkansas,Grant,0
Arkansas,Greene,0.06
Arkansas,Hempstead,0.08
Arkansas,Hot Spring,0.06
Arkansas,Howard,0.03
Arkansas,Independence,0.01
Arkansas,Izard,0.06
Arkansas,Jackson,0.11
Arkansas,Jefferson,0.18
Arkansas,Johnson,0.13
Arkansas,Lafayette,0
Arkansas,Lawrence,0
Arkansas,Lee,0.12
Arkansas,Lincoln,0
Arkansas,Little River,0.02
Arkansas,Logan,0.25
Arkansas,Lonoke,0.12
Arkansas,Madison,0.01
Arkansas,Marion,0.01
Arkansas,Miller,0.08
Arkansas,Mississippi,0.25
Arkansas,Monroe,0.03
Arkansas,Montgomery,0.03
Arkansas,Nevada,0.24
Arkansas,Newton,0
Arkansas,Ouachita,0.23
Arkansas,Perry,0.02
Arkansas,Phillips,0.13
Arkansas,Pike,0.12
Arkansas,Poinsett,0.21
Arkansas,Polk,0.09
Arkansas,Pope,0.16
Arkansas,Prairie,0
Arkansas,Pulaski,0.3
Arkansas,Randolph,0.13
Arkansas,Saline,0.07
Arkansas,Scott,0.01
Arkansas,Searcy,0
Arkansas,Sebastian,0.18
Arkansas,Sevier,0.11
Arkansas,Sharp,0.03
Arkansas,St. Francis,0
Arkansas,Stone,0.04
Arkansas,Union,0.23
Arkansas,Van Buren,0.03
Arkansas,Washington,0.2
Arkansas,White,0.11
Arkansas,Woodruff,0
Arkansas,Yell,0.14
California,Alameda,0.85
California,Alpine,0.02
California,Amador,0.03
California,Butte,0.26
California,Calaveras,0.13
California,Colusa,0.09
California,Contra Costa,0.68
California,Del Norte,0.13
California,El Dorado,0.28
California,Fresno,0.36
California,Glenn,0.29
California,Humboldt,0.49
California,Imperial,0.46
California,Inyo,0.16
California,Kern,0.44
California,Kings,0.36
California,Lake,0.27
California,Lassen,0.15
California,Los Angeles,0.57
California,Madera,0.3
California,Marin,0.71
California,Mariposa,0.07
California,Mendocino,0.2
California,Merced,0.42
California,Modoc,0.18
California,Mono,0.27
California,Monterey,0.64
California,Napa,0.61
California,Nevada,0.19
California,Orange,0.79
California,Placer,0.61
California,Plumas,0
California,Riverside,0.42
California,Sacramento,0.66
California,San Benito,0.59
California,San Bernardino,0.37
California,San Diego,0.5
California,San Francisco,0.97
California,San Joaquin,0.66
California,San Luis Obispo,0.49
California,San Mateo,0.8
California,Santa Barbara,0.56
California,Santa Clara,0.77
California,Santa Cruz,0.6
California,Shasta,0.08
California,Sierra,0
California,Siskiyou,0.12
California,Solano,0.76
California,Sonoma,0.59
California,Stanislaus,0.69
California,Sutter,0.52
California,Tehama,0.15
California,Trinity,0.18
California,Tulare,0.1
California,Tuolumne,0.1
California,Ventura,0.74
California,Yolo,0.79
California,Yuba,0.38
Colorado,Adams,0.66
Colorado,Alamosa,0
Colorado,Arapahoe,0.68
Colorado,Archuleta,0.07
Colorado,Baca,0.34
Colorado,Bent,0.33
Colorado,Boulder,0.71
Colorado,Broomfield,0.76
Colorado,Chaffee,0
Colorado,Cheyenne,0.53
Colorado,Clear Creek,0.1
Colorado,Conejos,0.1
Colorado,Costilla,0
Colorado,Crowley,0
Colorado,Custer,0.21
Colorado,Delta,0.21
Colorado,Denver,0.85
Colorado,Dolores,0.38
Colorado,Douglas,0.54
Colorado,Eagle,0.4
Colorado,El Paso,0.65
Colorado,Elbert,0.06
Colorado,Fremont,0.14
Colorado,Garfield,0.29
Colorado,Gilpin,0.13
Colorado,Grand,0.36
Colorado,Gunnison,0.29
Colorado,Hinsdale,0
Colorado,Huerfano,0.39
Colorado,Jackson,0.03
Colorado,Jefferson,0.68
Colorado,Kiowa,0
Colorado,Kit Carson,0.23
Colorado,La Plata,0.25
