state,county,value
Alabama,Autauga,0
Alabama,Baldwin,0.0024
Alabama,Barbour,0.0029
Alabama,Bibb,0
Alabama,Blount,0.0022
Alabama,Bullock,0
Alabama,Butler,0
Alabama,Calhoun,0.004
Alabama,Chambers,0.0025
Alabama,Cherokee,0
Alabama,Chilton,0.0026
Alabama,Choctaw,0.0062
Alabama,Clarke,0.0015
Alabama,Clay,0.0028
Alabama,Cleburne,0.0023
Alabama,Coffee,0.0063
Alabama,Colbert,0.0028
Alabama,Conecuh,0.0028
Alabama,Coosa,0
Alabama,Covington,0.0055
Alabama,Crenshaw,0.0021
Alabama,Cullman,0.0009
Alabama,Dale,0.0065
Alabama,Dallas,0.0104
Alabama,DeKalb,0.0001
Alabama,Elmore,0
Alabama,Escambia,0.0061
Alabama,Etowah,0.0032
Alabama,Fayette,0.0017
Alabama,Franklin,0.0009
Alabama,Geneva,0.0004
Alabama,Greene,0.0206
Alabama,Hale,0
Alabama,Henry,0.0023
Alabama,Houston,0.003
Alabama,Jackson,0.0003
Alabama,Jefferson,0.0072
Alabama,Lamar,0.001
Alabama,Lauderdale,0.006
Alabama,Lawrence,0
Alabama,Lee,0.0148
Alabama,Limestone,0.0032
Alabama,Lowndes,0
Alabama,Macon,0.0239
Alabama,Madison,0.0048
Alabama,Marengo,0.0014
Alabama,Marion,0
Alabama,Marshall,0.0017
Alabama,Mobile,0.004
Alabama,Monroe,0.0033
Alabama,Montgomery,0.0067
Alabama,Morgan,0.0012
Alabama,Perry,0.0153
Alabama,Pickens,0.0121
Alabama,Pike,0.0088
Alabama,Randolph,0.0043
Alabama,Russell,0.0062
Alabama,Shelby,0.0017
Alabama,St. Clair,0.0012
Alabama,Sumter,0.0031
Alabama,Talladega,0.0021
Alabama,Tallapoosa,0.0005
Alabama,Tuscaloosa,0.0086
Alabama,Walker,0.0027
Alabama,Washington,0.0022
Alabama,Wilcox,0
Alabama,Winston,0.0005
Alaska,Aleutians East,0.0501
Alaska,Aleutians West,0.1697
Alaska,Anchorage,0.0163
Alaska,Bethel,0.1108
Alaska,Bristol Bay,0.0157
Alaska,Denali,0.1596
Alaska,Dillingham,0.0287
Alaska,Fairbanks North Star,0.0147
Alaska,Haines,0.0155
Alaska,HOONAH-ANGOON CENSUS AREA,0.0784
Alaska,Juneau,0.0267
Alaska,Kenai Peninsula,0.0241
Alaska,Ketchikan Gateway,0.0432
Alaska,Kodiak Island,0.0703
Alaska,Lake and Peninsula,0.0918
Alaska,Matanuska-Susitna,0.0067
Alaska,Nome,0.1193
Alaska,North Slope,0.0569
Alaska,Northwest Arctic,0.1731
Alaska,PETERSBURG CENSUS AREA,0.0472
Alaska,PRINCE OF WALES-HYDER CENSUS AREA,0.0702
Alaska,Sitka,0.0586
Alaska,SKAGWAY MUNICIPALITY,0.0848
Alaska,Southeast Fairbanks,0.0177
Alaska,Valdez-Cordova,0.0689
Alaska,Wade Hampton,0.1183
Alaska,WRANGELL CITY AND BURROUGH,0.0717
Alaska,Yakutat,0.0181
Alaska,Yukon-Koyukuk,0.1196
Arizona,Apache,0.0213
Arizona,Cochise,0.0131
Arizona,Coconino,0.0497
Arizona,Gila,0.0145
Arizona,Graham,0.0108
Arizona,Greenlee,0.0048
Arizona,La Paz,0.0105
Arizona,Maricopa,0.0093
Arizona,Mohave,0.0072
Arizona,Navajo,0.0168
Arizona,Pima,0.0144
Arizona,Pinal,0.0049
Arizona,Santa Cruz,0.0109
Arizona,Yavapai,0.0164
Arizona,Yuma,0.0096
Arkansas,Arkansas,0.0076
Arkansas,Ashley,0.0018
Arkansas,Baxter,0.0031
Arkansas,Benton,0.0088
Arkansas,Boone,0.003
Arkansas,Bradley,0
Arkansas,Calhoun,0.009
Arkansas,Carroll,0.0207
Arkansas,Chicot,0.0092
Arkansas,Clark,0.0062
Arkansas,Clay,0.0115
Arkansas,Cleburne,0.01
Arkansas,Cleveland,0
Arkansas,Columbia,0.0092
Arkansas,Conway,0
Arkansas,Craighead,0.0066
Arkansas,Crawford,0.0015
Arkansas,Crittenden,0.0104
Arkansas,Cross,0.0037
Arkansas,Dallas,0.0027
Arkansas,Desha,0.005
Arkansas,Drew,0.0068
Arkansas,Faulkner,0.0054
Arkansas,Franklin,0
Arkansas,Fulton,0
Arkansas,Garland,0.0062
Arkansas,Grant,0.0017
Arkansas,Greene,0.0044
Arkansas,Hempstead,0
Arkansas,Hot Spring,0.0043
Arkansas,Howard,0.0118
Arkansas,Independence,0.0047
