state,county,value
Alabama,Autauga,10.8
Alabama,Baldwin,9.6
Alabama,Barbour,10.1
Alabama,Bibb,10.5
Alabama,Blount,11.3
Alabama,Bullock,9.8
Alabama,Butler,9.4
Alabama,Calhoun,11.6
Alabama,Chambers,10.4
Alabama,Cherokee,10.8
Alabama,Chilton,10.5
Alabama,Choctaw,9.6
Alabama,Clarke,9.6
Alabama,Clay,9.9
Alabama,Cleburne,10.3
Alabama,Coffee,9.6
Alabama,Colbert,10.2
Alabama,Conecuh,9.1
Alabama,Coosa,10.2
Alabama,Covington,9.2
Alabama,Crenshaw,9.5
Alabama,Cullman,11.3
Alabama,Dale,9.8
Alabama,Dallas,10.1
Alabama,DeKalb,10.7
Alabama,Elmore,11.1
Alabama,Escambia,9.1
Alabama,Etowah,11.2
Alabama,Fayette,10
Alabama,Franklin,9.9
Alabama,Geneva,9.3
Alabama,Greene,9.6
Alabama,Hale,9.9
Alabama,Henry,9.7
Alabama,Houston,9.5
Alabama,Jackson,10.7
Alabama,Jefferson,12.9
Alabama,Lamar,9.7
Alabama,Lauderdale,10.5
Alabama,Lawrence,10.9
Alabama,Lee,11.1
Alabama,Limestone,11.7
Alabama,Lowndes,10
Alabama,Macon,10.6
Alabama,Madison,11.6
Alabama,Marengo,9.8
Alabama,Marion,9.8
Alabama,Marshall,11.3
Alabama,Mobile,10
Alabama,Monroe,9.3
Alabama,Montgomery,11.2
Alabama,Morgan,11.3
Alabama,Perry,9.7
Alabama,Pickens,9.9
Alabama,Pike,9.7
Alabama,Randolph,10.1
Alabama,Russell,11.2
Alabama,Shelby,11.4
Alabama,St. Clair,11.8
Alabama,Sumter,9.7
Alabama,Talladega,11.4
Alabama,Tallapoosa,10.4
Alabama,Tuscaloosa,10.7
Alabama,Walker,11.1
Alabama,Washington,9.5
Alabama,Wilcox,9.4
Alabama,Winston,10.4
Arizona,Apache,5.5
Arizona,Cochise,6
Arizona,Coconino,5.5
Arizona,Gila,6.4
Arizona,Graham,6.4
Arizona,Greenlee,5.8
Arizona,La Paz,6.2
Arizona,Maricopa,10.3
Arizona,Mohave,5.9
Arizona,Navajo,5.7
Arizona,Pima,7.2
Arizona,Pinal,10.3
Arizona,Santa Cruz,6
Arizona,Yavapai,5.9
Arizona,Yuma,7.3
Arkansas,Arkansas,10.4
Arkansas,Ashley,10
Arkansas,Baxter,9.3
Arkansas,Benton,10
Arkansas,Boone,9.2
Arkansas,Bradley,10
Arkansas,Calhoun,10
Arkansas,Carroll,9.2
Arkansas,Chicot,10.1
Arkansas,Clark,10.3
