Incidence Rate Report for United States by County,,,,,,,,,,
"Oral Cavity & Pharynx, 2010-2014",,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,
Sorted by Rate,,,,,,,,,,
County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate( ) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (à) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"US (SEER+NPCR)(1,10)",0,***,11.5,11.4,11.5,41223,stable,0.6,-0.2,1.5
"Union County, Florida(6,10)",12125,***,80.2,62,102.4,15,stable,10.5,-5.5,29.1
"Love County, Oklahoma(6,10)",40085,***,46,30.5,67.3,6,stable,-18.1,-41.1,13.9
"Jefferson County, Oklahoma(6,10)",40067,***,38.9,21.5,65.5,3,*,*,*,*
"Hancock County, Iowa(7)",19081,***,30.3,18.9,46.7,5,*,*,*,*
"Montmorency County, Michigan(6,10)",26119,***,27.4 #  ,15.9,45.8,4,stable,-9.1,-51.1,69
"Carter County, Oklahoma(6,10)",40019,***,26.9,21.2,33.8,16,stable,-6.6,-27.1,19.7
"Pontotoc County, Oklahoma(6,10)",40123,***,26.5,20,34.4,12,stable,-13.1,-42.3,30.9
"Marshall County, Oklahoma(6,10)",40095,***,26.3,17.4,38.6,6,stable,-3.5,-28.2,29.7
"Rockcastle County, Kentucky(7,8)",21203,***,24.9,16.2,37,5,stable,-14.7,-36.5,14.6
"Trinity County, Texas(6,10)",48455,***,24.5,15.3,37.8,5,stable,-0.8,-33.3,47.5
"Lewis County, Tennessee(6,10)",47101,***,24,13.9,39,4,stable,6.2,-53.6,143.1
"Murray County, Oklahoma(6,10)",40099,***,23.4,14.2,36.7,4,stable,19.2,-46,163.1
"Magoffin County, Kentucky(7)",21153,***,23,13.4,37.1,4,*,*,*,*
"Page County, Iowa(7)",19145,***,23,14.5,35,5,*,*,*,*
"Dade County, Georgia(7,8)",13083,***,22.7,14.3,34.7,5,stable,3.2,-2.6,9.3
"Swain County, North Carolina(6,10)",37173,***,22.4,13.9,34.8,4,stable,-2.2,-46.1,77.6
"Dixie County, Florida(6,10)",12029,***,22.3,13.8,34.5,5,stable,-10.9,-43.8,41.4
"Holmes County, Mississippi(6,10)",28051,***,22.2,13.9,33.7,5,stable,16.5,-47.3,157.5
"Monroe County, Florida(6,10)",12087,***,22.1,18.3,26.6,26,stable,-5.2,-15.1,5.9
"Monroe County, Illinois(6,10)",17133,***,21.8,16,29.3,9,stable,12,-25.6,68.6
"Bryan County, Oklahoma(6,10)",40013,***,21.8,16.3,28.6,11,stable,-1.5,-18.3,18.7
"Washington Parish, Louisiana(7,8)",22117,***,21.7,16.4,28.3,12,rising,7.7,3.1,12.5
"East Feliciana Parish, Louisiana(7,8)",22037,***,21.7,14.1,32.1,6,stable,3.8,-1,8.7
"Polk County, Tennessee(6,10)",47139,***,21.6,13.9,32.7,5,stable,-14.1,-63.5,102.5
"Callahan County, Texas(6,10)",48059,***,21.3,12.8,34,4,stable,38.5,-25.7,158.3
"Gulf County, Florida(6,10)",12045,***,21.2,13.2,33,4,stable,22.1,-34.3,127.1
"Harrison County, Kentucky(7,8)",21097,***,21.1,13.6,31.7,5,stable,4.3,-2.7,11.9
"Atoka County, Oklahoma(6,10)",40005,***,21.1,12.7,33.5,4,stable,8.4,-31.5,71.4
"Vinton County, Ohio(6,10)",39163,***,21,12.1,34.4,3,*,*,*,*
"Hopkins County, Kentucky(7,8)",21107,***,20.9,16,27,13,stable,4.6,-0.7,10.2
"Kalkaska County, Michigan(6,10)",26079,***,20.8 #  ,13.1,32,5,stable,4.5,-39.8,81.5
"Harlan County, Kentucky(7,8)",21095,***,20.7,14.3,29.1,7,stable,1.6,-2.9,6.3
"Pemiscot County, Missouri(6,10)",29155,***,20.5,12.5,31.8,4,stable,2,-41.5,77.7
"Garvin County, Oklahoma(6,10)",40049,***,20.5,14.2,28.7,7,stable,3.7,-30.8,55.5
"Montgomery County, Illinois(6,10)",17135,***,20.1,14.4,27.7,8,stable,-9,-46.3,54.4
"Cherokee County, North Carolina(6,10)",37039,***,20.1,13.8,28.5,8,stable,-6.5,-40.2,46.2
